"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8"
"AL669831.5","AL669831.5","grey","grey",0.138067530484558,0.124196836297402,0.0762469924933887,0.134031051979456,0.0943855390222334,0.125339097361119,0.114548015659823,0.11441650919922,0.0242504843583085
"NOC2L","NOC2L","grey","grey",0.0748063509981027,0.0660840075058498,0.0974812310697162,0.0556957911266649,0.0361308311786169,0.056029629685266,0.0393098098741851,0.0595897166565147,0.0121779736360261
"AGRN","AGRN","grey","grey",0.0905525620303443,0.0867528046543656,0.0538226817903876,0.0948534362887674,0.0788671844177731,0.0722123089651428,0.0838211208472938,0.0680370584033693,-4.32745664640728e-05
"C1orf159","C1orf159","grey","grey",0.0999127212556375,0.10204668388675,0.046295047154592,0.0943514990750984,0.0811268136056035,0.0969149949131561,0.0879650707896204,0.088393482324197,0.0178275147598447
"SDF4","SDF4","grey","grey",0.100214173786542,0.0806357201886608,0.11265427660403,0.087948386940326,0.0638778728659015,0.0775733645289341,0.0804808190205202,0.0719856890740681,0.0268274831695857
"UBE2J2","UBE2J2","grey","grey",0.101891126621415,0.0889970181352384,0.0766329235409425,0.0954002744462797,0.0714528869937998,0.0826398123858199,0.0788226994986249,0.077087386056687,0.0175851284328902
"ACAP3","ACAP3","oligo1","brown",0.091301929218449,0.121958122865856,0.0431123841139143,0.0775641667672353,0.0953579916232237,0.0796482543261537,0.0739117510178234,0.0869088331789966,0.0157317996401488
"INTS11","INTS11","oligo1","brown",0.114589560094341,0.122083953708749,0.0831725921102157,0.101342475327869,0.0920164119777999,0.0973083129713402,0.0810954377681891,0.0902964713856493,0.00639459477499481
"DVL1","DVL1","grey","grey",0.0786082410153537,0.0707987232513766,0.0841953881532246,0.0700965440914468,0.0601148440094098,0.0574025895390821,0.0635510320619986,0.0513704746048625,0.00560559436775143
"CCNL2","CCNL2","oligo1","brown",0.154192391359089,0.163922410048057,0.102741299210995,0.140275310960888,0.118687160997545,0.130826523836406,0.126444361522609,0.121664166132453,0.031461260561237
"MRPL20","MRPL20","grey","grey",0.0676273133477911,0.0625571092013807,0.0779882745282802,0.0487224110667617,0.0438736216797043,0.0427080021094566,0.0426625994685884,0.0474293822561521,0.0254186663501896
"ANKRD65","ANKRD65","grey","grey",0.080300245677619,0.075178392071678,0.106702786561057,0.061543021267961,0.0552379396770753,0.0584517512032456,0.0594626705576184,0.0658433023845773,0.00932771473005643
"VWA1","VWA1","oligo2","blue",0.165352673077652,0.150845186388132,0.27841776717967,0.113381713882375,0.0906448471906512,0.131778956936056,0.106803822805978,0.146223621841511,0.015447664474468
"ATAD3C","ATAD3C","oligo1","brown",0.0478281741573945,0.0570132417842355,0.00839185034502471,0.0525276538554613,0.04642660563545,0.0490163395278112,0.045465689690552,0.039472061079155,0.0129880067081828
"ATAD3B","ATAD3B","grey","grey",0.070555543078743,0.0671450804619175,0.0341218026491988,0.0711987351450344,0.058390631192133,0.0641925250716842,0.0565850672634532,0.0488732907957307,0.0204000271668434
"SSU72","SSU72","grey","grey",0.075017075860823,0.0619109675294261,0.0788034099181657,0.0696133556517085,0.0512582401827533,0.057152018172356,0.0537550701903387,0.0496396697533211,0.0107883990323344
"MIB2","MIB2","grey","grey",0.0759332946336903,0.0673153084082025,0.0659200169525643,0.0698539683596137,0.0568773981513256,0.0553038014086302,0.0581546755183312,0.052039708193088,0.0170767558280258
"CDK11B","CDK11B","oligo3","turquoise",0.108881393636438,0.0923665428520872,0.0554893432264315,0.119305696559265,0.0819738260868183,0.0842834615405457,0.0814069728179926,0.0667334816571123,0.00464959468921323
"SLC35E2B","SLC35E2B","oligo3","turquoise",0.129684641795274,0.107094066202262,0.0938122994125129,0.133444796562155,0.0890915176624646,0.102548197375202,0.0894205630014691,0.0764015567196129,0.0193032679078922
"CDK11A","CDK11A","oligo3","turquoise",0.0863839793210006,0.0708263817388379,0.0416199219596418,0.102667094459315,0.0668004091184614,0.0564965653176164,0.0694780705181819,0.0399580229836679,0.00661078928327256
"SLC35E2A","SLC35E2A","oligo4","pink",0.0894287852592578,0.0915610420340488,0.0435688972082119,0.098398314290531,0.116924668027156,0.0694408432222423,0.0744192888476093,0.0493415317872764,0.0213832774125869
"GNB1","GNB1","grey","grey",0.264404525315069,0.252201388385234,0.180016578496722,0.272762713591995,0.220301058142041,0.212328962934155,0.237900904861609,0.18423822243163,0.0482430870640436
"PRKCZ","PRKCZ","oligo3","turquoise",0.186131289886763,0.173651465153276,0.108623344221817,0.217990538501305,0.166414823112385,0.144242976087039,0.192360040339711,0.115648624725448,0.0255893785066823
"SKI","SKI","grey","grey",0.113798384356052,0.102024837625049,0.0838515191207189,0.110932472604103,0.0826341134343595,0.0957627595094241,0.0708445701650082,0.0819005068845862,0.0221512734742694
"RER1","RER1","grey","grey",0.115124844158826,0.0937623221821637,0.14655761890917,0.0891795617068491,0.065126330766239,0.0862387900719335,0.0755745147993577,0.0822205857886954,0.0210161881492594
"PLCH2","PLCH2","oligo3","turquoise",0.150745637282844,0.134227521249219,0.0997046586092441,0.180144327829214,0.14450966035705,0.101785288590399,0.195214386071321,0.0696333323920307,0.0183548881437044
"CEP104","CEP104","grey","grey",0.161689442119534,0.15297159847108,0.110635338190938,0.156554741128777,0.121048338610316,0.134937822745871,0.147291312523462,0.12499644659527,0.0363741405899745
"DFFB","DFFB","grey","grey",0.118287278787354,0.10635436738224,0.0741369183077291,0.120485091622596,0.0905292532210941,0.0942838398529683,0.101790882056711,0.0836512353771646,0.0200223808993093
"AJAP1","AJAP1","oligo1","brown",0.119488482943983,0.121277329602776,0.0684070870292329,0.109337196414084,0.0857213972964543,0.11476726245771,0.0789201392611553,0.0976690242197297,0.0292096592982172
"NPHP4","NPHP4","grey","grey",0.0984881330870282,0.084849138192708,0.0510443839616207,0.102964366660622,0.0770395349141591,0.0805409471921152,0.080144287269994,0.0656356897522389,0.0294026184324931
"ACOT7","ACOT7","grey","grey",0.0806348921903664,0.0848477854959963,0.0589493186111909,0.084490859663657,0.0823341480557968,0.0565278849933982,0.0964812882266195,0.0503842388735917,0.0319419698002147
"NOL9","NOL9","oligo1","brown",0.095877886929954,0.105033072907015,0.0560408351966002,0.083030604425788,0.0824300437904909,0.0864929737279277,0.0702859458496604,0.0786912912404073,0.0206316971263725
"KLHL21","KLHL21","grey","grey",0.118418563720282,0.0994242562902741,0.113423906030163,0.118479099357723,0.0845611150361402,0.0778974656587421,0.0860610182616031,0.0568682203000558,0.0193158493429769
"DNAJC11","DNAJC11","grey","grey",0.1124772883223,0.108094302102778,0.0700641489899695,0.106381784864347,0.0906342027128368,0.0922551471266168,0.0946405787358971,0.0830417119064547,0.0265368904611003
"CAMTA1","CAMTA1","oligo3","turquoise",0.310373229608384,0.291158558078859,0.161757289018857,0.323360973249676,0.248465059073174,0.273864967806211,0.263980776008089,0.235171772226801,0.0671209402867716
"VAMP3","VAMP3","grey","grey",0.129359495155067,0.107977869134008,0.166583475092936,0.104950569266623,0.0745782689802578,0.097595388989302,0.0851804282416394,0.0950884984383159,0.0228667788990582
"PER3","PER3","grey","grey",0.217230223065513,0.201773055983166,0.154243354587615,0.215798032196137,0.17235895862814,0.17889172173385,0.205222845218169,0.151583253082296,0.0290026308040516
"PARK7","PARK7","oligo2","blue",0.0689243411962133,0.0524799534354075,0.117886270250815,0.0561279287128048,0.0422625013765904,0.0377599412416271,0.0441842936373103,0.0334464508333084,0.0228135691211356
"ERRFI1","ERRFI1","grey","grey",0.122967498198987,0.0996293843320033,0.0966438606175297,0.122590138065964,0.0837217029154936,0.101691907849144,0.0936687676139843,0.0938097968410578,0.0121221805570573
"RERE","RERE","grey","grey",0.44326230616053,0.433746383260532,0.240432139433703,0.430994945411329,0.352159022558711,0.419354413680055,0.389265766012896,0.388966974837869,0.0820823418881735
"ENO1","ENO1","oligo2","blue",0.0722232619334531,0.0536556740694155,0.134259360639107,0.0536574427295,0.0361853737886736,0.0473320834380304,0.0389269218526474,0.0505052477216331,0.0459171511933045
"H6PD","H6PD","grey","grey",0.120417758782489,0.119478126226898,0.0805211912297124,0.111186822394346,0.0945722088484773,0.102268912284951,0.0876765645953081,0.0939001168701371,0.0195717036101238
"SPSB1","SPSB1","grey","grey",0.140981887178092,0.135623842457839,0.0779548178302768,0.137570945754223,0.112358844927154,0.137540004557952,0.109979363249115,0.136913699135081,0.0286560806723075
"SLC25A33","SLC25A33","grey","grey",0.0772101384146623,0.0720124038091885,0.0497171503016116,0.0740371102618559,0.0585801323632833,0.0564495278121376,0.0672949878580072,0.0426643093795647,0.0108746969794358
"CLSTN1","CLSTN1","oligo2","blue",0.137077389654248,0.121016050930752,0.143416703907321,0.126562833542591,0.0972538396107005,0.100569317650943,0.101490067212988,0.0891334001516884,0.0707864699055292
"CTNNBIP1","CTNNBIP1","oligo1","brown",0.100443484504186,0.111721301135216,0.0570283215577054,0.0972310331262025,0.0962460742928701,0.0827066211894829,0.0921335213751583,0.0782809206850657,0.0182275305543926
"LZIC","LZIC","grey","grey",0.125467798098694,0.113107335914408,0.10058419624117,0.114487585429542,0.0987910305750976,0.105361729422076,0.0970280164744677,0.0952706865094947,0.0222045940394358
"NMNAT1","NMNAT1","grey","grey",0.081710332159493,0.0776965716031906,0.0471158105274128,0.0826519023824661,0.0657157033050522,0.0727733607888898,0.0722019126195265,0.0624977207809029,0.0174359570327336
"UBE4B","UBE4B","oligo3","turquoise",0.309273122367535,0.301800105006344,0.148546708131086,0.326921593558075,0.257363140971014,0.275523532181998,0.252317793476985,0.239739711477017,0.0513716940732696
"KIF1B","KIF1B","oligo4","pink",0.431513494972644,0.426716741773148,0.263053553231207,0.430460904569056,0.44238251603009,0.38263175807809,0.369426464408607,0.341643852685649,0.0652936006906792
"DFFA","DFFA","grey","grey",0.109308604418191,0.102366870497515,0.0821765596918022,0.104588005844712,0.0801907732997323,0.0822165550876428,0.0795239598644402,0.0704749778823803,0.0209593385741118
"PEX14","PEX14","oligo1","brown",0.118416279739728,0.123806254751931,0.0765024886574609,0.107599306500386,0.0879857285662789,0.105847145698079,0.0983788895879577,0.100052030268078,0.0211483815588157
"EXOSC10","EXOSC10","grey","grey",0.10362682375265,0.0972180746745961,0.0576352242728244,0.0962589576898487,0.0809799675186235,0.0895432111779342,0.0863859398455574,0.0803302210601783,0.0191264210950462
"MTOR","MTOR","grey","grey",0.152144421495762,0.146291836330072,0.0762305380585945,0.149598115596821,0.124615927995066,0.137913185558696,0.125996871568715,0.118788062233473,0.0241900780786809
"UBIAD1","UBIAD1","grey","grey",0.0872542628042302,0.0793577051981932,0.0758407079991913,0.0780617176343244,0.0615452511632445,0.0623960040908823,0.0610957702732014,0.0562042179711417,0.0165275830548266
"FBXO2","FBXO2","grey","grey",0.0631394595326215,0.0387598582127616,0.0847541837893899,0.0793897276264001,0.0511639890027823,0.0129708781068116,0.0476714723641485,-0.0107395986708819,0.0350324492773561
"FBXO44","FBXO44","grey","grey",0.0666268590951421,0.0511122125401535,0.0648689399671091,0.0645768217175993,0.0450685404472467,0.0401859506974724,0.0438461436757659,0.0349514925363067,0.0222631745215156
"MTHFR","MTHFR","grey","grey",0.0981262514179926,0.0946773734592786,0.0681993776692589,0.0941322669171595,0.0757188018681802,0.0823028895695218,0.073013510190192,0.0687991836393377,0.0163578131414308
"CLCN6","CLCN6","grey","grey",0.0936465726630989,0.0805143401659164,0.0631671259738366,0.0882325745475247,0.0592796149253002,0.0824946572208011,0.0677630412081224,0.0707662697909378,0.00842203465632279
"KIAA2013","KIAA2013","oligo2","blue",0.100048134082443,0.0927285450211574,0.133154734840665,0.0749327783565402,0.0700387857333127,0.0748251477502379,0.0661310216370656,0.0759393825578066,0.026207131544655
"PLOD1","PLOD1","grey","grey",0.0846622431774157,0.0851200418814906,0.0465384944377676,0.0872504389831198,0.0634054852614165,0.0786696844365804,0.0754755366994839,0.074274799203523,0.00318082124382609
"MFN2","MFN2","grey","grey",0.0741028208894112,0.0764003127202183,0.0554901351650911,0.065788481663747,0.0644339592954565,0.0624836871690512,0.0492747335128105,0.0555635013598772,0.0327565431766403
"VPS13D","VPS13D","grey","grey",0.224972406915993,0.219200561030708,0.116699315627831,0.218735260544219,0.182475056630022,0.196267102376562,0.176251068445815,0.176366208260396,0.0492509995566016
"PRDM2","PRDM2","grey","grey",0.245055046947661,0.230670499171455,0.15949402944783,0.237107703300918,0.188613151666264,0.205085449163672,0.213641599580632,0.187540640147573,0.0589546999374047
"KAZN","KAZN","oligo3","turquoise",0.186460833718383,0.1710749011924,0.059525703487854,0.191171333329339,0.14346946462724,0.192178959200187,0.116962956158555,0.183071566923059,0.0445270937566816
"DNAJC16","DNAJC16","oligo1","brown",0.115607241986923,0.126301581487145,0.0829640841637513,0.105820405017831,0.0947855655107562,0.097229963054879,0.0977067708528245,0.0886264859630581,0.0273837891565198
"DDI2","DDI2","oligo1","brown",0.172047640955958,0.184482992830559,0.105137984124019,0.174961077607009,0.155231246771786,0.138742082118431,0.169628832065317,0.120333354170625,0.0159371824311451
"PLEKHM2","PLEKHM2","grey","grey",0.138699316640489,0.128354156993806,0.100362885386095,0.130885844083521,0.112808145679942,0.113419207576081,0.118378356436585,0.107636008441706,0.0205669137360292
"AL450998.2","AL450998.2","grey","grey",0.0787570119926991,0.062554956255072,0.0913249110160582,0.0639658384186474,0.0471530192777921,0.0597656925502208,0.0521621220474823,0.0599361367656288,0.0252222793823265
"SPEN","SPEN","grey","grey",0.223222804093623,0.208244736207333,0.135260228726535,0.213571676370409,0.162340726237874,0.205380846333609,0.166653611941168,0.188246451999937,0.0467843467794839
"ZBTB17","ZBTB17","grey","grey",0.110803361873823,0.105848044606114,0.0843598177496376,0.098160357786861,0.083065730701384,0.0951208127645238,0.0813982937252201,0.0888133783362829,0.0217469012588162
"FBXO42","FBXO42","grey","grey",0.163633387426335,0.157624989832157,0.0850937387356002,0.156282553858654,0.128783528782188,0.146746731541107,0.124563256833919,0.134092340207233,0.0408633027237204
"SZRD1","SZRD1","oligo1","brown",0.0808347235413841,0.0844447092266694,0.0665190252306813,0.0749027901571804,0.0662594537059333,0.0666120663702372,0.0515283382527878,0.0595349358749648,0.02206181995091
"NBPF1","NBPF1","oligo3","turquoise",0.213609973920107,0.183299351830971,0.128322407234467,0.248383542915547,0.17198835030984,0.16584981895547,0.21919379760913,0.129225283242283,0.0311010454477099
"CROCC","CROCC","grey","grey",0.119675193058156,0.11666505883456,0.0692791573635102,0.111828911718295,0.0908453175964036,0.104656933636152,0.0855665343534553,0.0944036303426397,0.0256266552132448
"ATP13A2","ATP13A2","grey","grey",0.0886148654102914,0.0747714009175251,0.0750381765464931,0.088153632662632,0.0600082599620578,0.0582847615706469,0.0642682278615906,0.0481582726806371,0.0266280757875397
"SDHB","SDHB","grey","grey",0.115933503940855,0.113565703421114,0.0772799105918862,0.111243311422665,0.0828783343709456,0.0996251026288289,0.0903008812182855,0.0856734083086321,0.018659044638
"PADI2","PADI2","oligo3","turquoise",0.229871354688696,0.221419494456005,0.147593092140582,0.258821495453898,0.203914646988025,0.187269120567511,0.245638756410906,0.1541691759953,0.0259309205281414
"RCC2","RCC2","grey","grey",0.0986585632726233,0.0803675195114809,0.0682881328725473,0.0941294020019171,0.0717141719147647,0.0748134139006471,0.0752530884920089,0.0580588071084283,0.0218747266436736
"UBR4","UBR4","grey","grey",0.184691994931944,0.167398174936025,0.116281451350669,0.180173694053158,0.136599324596991,0.156051180054995,0.154791912056045,0.136051038160251,0.0320118683390408
"AL035413.1","AL035413.1","grey","grey",0.117661042952221,0.111283611703755,0.0635200333425348,0.111251855808602,0.0885416116796132,0.103973763255237,0.0830240342192269,0.0942990214177641,0.0258466127480868
"EMC1","EMC1","grey","grey",0.0787493132734922,0.0633501691607803,0.0909654872625848,0.0654462374757389,0.0529689918991752,0.0549687060896159,0.051207227635066,0.0471313230998628,0.0152835255934891
"CAPZB","CAPZB","grey","grey",0.215773973150204,0.21028146880591,0.135378159215063,0.209729088886402,0.173704051175736,0.18269180067802,0.18666603128616,0.165483106426228,0.0507839897892012
"OTUD3","OTUD3","grey","grey",0.0878860789864369,0.077367524172888,0.0618407642569966,0.0758514110085052,0.0569184836886558,0.0706894105978933,0.0613707974519162,0.0622668224273901,0.0163753182662116
"CAMK2N1","CAMK2N1","grey","grey",0.271868454793827,0.223932237105551,0.295955102375981,0.265834565248972,0.178231112395959,0.201004624307519,0.225658362243498,0.166451246252238,0.0281536342320976
"PINK1","PINK1","oligo2","blue",0.0511548339643876,0.0416774386729781,0.0915757510302646,0.0398755353559187,0.0309608120250395,0.0319940155405155,0.0325451244424927,0.0354537999292534,0.024053155723548
"HP1BP3","HP1BP3","oligo3","turquoise",0.317091189028124,0.271412067767057,0.20144792919803,0.321692935562873,0.224962968571976,0.26572987995692,0.231610766417615,0.222629306466986,0.0506614321533128
"EIF4G3","EIF4G3","oligo4","pink",0.389295921718885,0.385797829217415,0.22749790399479,0.378510821809962,0.402955262470375,0.347314388004577,0.339664252088541,0.319785094431792,0.0778939638954559
"ECE1","ECE1","oligo3","turquoise",0.147481105616194,0.130914577956797,0.0662074374463898,0.166334961429582,0.119818583326512,0.127674471291923,0.091170444594602,0.0966147922873521,0.0135920876901593
"RAP1GAP","RAP1GAP","grey","grey",0.0869800385381029,0.0791464959493537,0.0637557511256347,0.0798888198406355,0.0605386674084322,0.0731495409292928,0.0701125402045981,0.0721556282394943,0.0302918003537014
"USP48","USP48","oligo3","turquoise",0.271682552019216,0.245376576833629,0.162634618959902,0.283166332407129,0.204349875429663,0.2337367737993,0.225861135246537,0.197996281767919,0.0484947563691385
"CDC42","CDC42","oligo2","blue",0.181761140098478,0.159197421273329,0.194455431704379,0.159872032851396,0.131151565290971,0.139030082948155,0.146539804492017,0.126147439452493,0.035752989971062
"ZBTB40","ZBTB40","grey","grey",0.124913406422929,0.10474126524051,0.0786073665933217,0.11885541729891,0.0881962630483073,0.107400342955977,0.0847625997940138,0.0872541289888564,0.0222318852372895
"EPHB2","EPHB2","oligo3","turquoise",0.21907554943473,0.199804795338337,0.122912365404271,0.26055714683631,0.201586335507482,0.15109468875609,0.258814039517972,0.0977976651395455,0.0235284347399713
"KDM1A","KDM1A","grey","grey",0.117024205162059,0.108165542420019,0.0750276079923326,0.104217841587146,0.0871127703037477,0.102577412256106,0.0866087527541458,0.0976309165053721,0.0313318998580595
"LINC01355","LINC01355","grey","grey",0.0717807469843308,0.062783989063906,0.0651103380776977,0.0669431085353763,0.0498268850583537,0.0579760645859663,0.0545699624890752,0.054916601612924,0.0143996806701488
"HNRNPR","HNRNPR","grey","grey",0.194894651265787,0.174594478071481,0.155855963565415,0.172994938358277,0.135037219425681,0.175958049259358,0.146202443348093,0.162836682911432,0.0324259806984981
"RPL11","RPL11","grey","grey",0.118800821524582,0.0837254629297705,0.179857238232832,0.094059521771754,0.0616533011145918,0.0721431559729528,0.0676153801033097,0.0598876480983376,0.0282617778574571
"ELOA","ELOA","grey","grey",0.0914973732461707,0.0755313293826762,0.0617379126181261,0.0964591527450555,0.0659212779248578,0.0673907574112754,0.0750231873103145,0.0477042356158097,0.00984519833570796
"ELOA-AS1","ELOA-AS1","grey","grey",0.124425169585497,0.1180650223796,0.0792100775522907,0.119393094372598,0.0973707146674605,0.10365546449307,0.10740351232418,0.0901061235459466,0.0124216858194946
"PITHD1","PITHD1","grey","grey",0.0716740927176111,0.0585015326539214,0.106331021563339,0.0503105467099626,0.0408463600280091,0.0445401917932015,0.0357658319995203,0.0416802619731133,0.020255699506062
"HMGCL","HMGCL","grey","grey",0.100504149864979,0.0945855878622758,0.0726426688126067,0.0966859788567313,0.0863702278652107,0.0762183347150474,0.0830024666354464,0.0617123321302157,0.0179402916526532
"SRSF10","SRSF10","grey","grey",0.175580792621056,0.148476798072455,0.158069467967693,0.150713918828511,0.116903247637548,0.138989560206271,0.118759296817045,0.123978307963601,0.0320683220229063
"STPG1","STPG1","grey","grey",0.111210826261143,0.099317651481885,0.064703379676322,0.111925927449262,0.0848268532980515,0.10311882680545,0.0887028062226741,0.0858691040422902,0.0151105090435481
"NIPAL3","NIPAL3","grey","grey",0.263614537951626,0.241902220366383,0.199279302082464,0.257069793461642,0.19719208076689,0.23267614456645,0.217250247475334,0.207825225821013,0.0433054775265965
"RCAN3","RCAN3","grey","grey",0.112497752970188,0.106581119842873,0.0701441538016856,0.106988991594377,0.090965356323603,0.100115488827432,0.101547772195868,0.0865015206952756,0.0142747733941437
"SRRM1","SRRM1","oligo3","turquoise",0.244354659818854,0.219619191720048,0.113591579896805,0.269055342552381,0.194987643329017,0.202759006441935,0.203779268397357,0.158917118367425,0.0324760834741062
"CLIC4","CLIC4","grey","grey",0.266588272862148,0.268089232813151,0.209487363487802,0.228550367951442,0.20125703591189,0.258526145998949,0.209901412490601,0.274030481167213,0.0501612714406986
"RSRP1","RSRP1","grey","grey",0.30881244612286,0.262059906329297,0.255413364493323,0.295838658451059,0.220536408328844,0.239360047407227,0.260123204496776,0.198053727790549,0.0544525078231503
"TMEM50A","TMEM50A","oligo2","blue",0.122616743952203,0.10278558811554,0.177722293816001,0.101256115531442,0.0765604585877322,0.0874936274027415,0.093548826684605,0.0792978887436302,0.0292895216221786
"MACO1","MACO1","grey","grey",0.171745366124021,0.161896354721405,0.11188355642731,0.167873160364031,0.1363893954579,0.148268198595971,0.145320931742896,0.130339485651226,0.0320549792645579
"LDLRAP1","LDLRAP1","oligo3","turquoise",0.178797325505234,0.155872205051845,0.124051144432642,0.198381993670347,0.144945246677557,0.13506620033359,0.162467576626321,0.100962395122731,0.0245720366621883
"MAN1C1","MAN1C1","grey","grey",0.0936132919319736,0.0877334553041425,0.0654307106534893,0.087353073163294,0.0729219473946833,0.0742748787249352,0.0820013928629541,0.0636854219164226,0.0412213162695203
"MTFR1L","MTFR1L","grey","grey",0.0619226134885541,0.0640477377517764,0.0600684858509486,0.0512235043173663,0.0530678480243007,0.044728665077441,0.0479507664641854,0.0471742026560891,0.0218667635063299
"STMN1","STMN1","oligo2","blue",0.169162625203592,0.12888856331247,0.298485113938689,0.148578438333483,0.115831728432641,0.0871163113911083,0.130738901686515,0.0568231600092637,0.0546633123447394
"PAFAH2","PAFAH2","grey","grey",0.0932038585232266,0.0891967327767867,0.0540701690412285,0.0893326980976717,0.0815575132078437,0.0833932545020017,0.0860022553788909,0.0769065369992594,0.0245785391846858
"CEP85","CEP85","oligo3","turquoise",0.158692044402729,0.142965057286685,0.0933347428992905,0.183970717694338,0.139973204068776,0.119632351764752,0.159529892631163,0.0806893540372086,0.0157877483357396
"SH3BGRL3","SH3BGRL3","grey","grey",0.0858830521114224,0.0716707475733767,0.106428017382334,0.0807445180073104,0.0573913149129813,0.0567795196596403,0.0623962029010164,0.0446978960451297,0.0170609473917207
"DHDDS","DHDDS","grey","grey",0.0912625771438719,0.0797236847879615,0.056203308791931,0.0801703807784072,0.0671443464784646,0.0812130020955321,0.068087544609757,0.0738248487751295,0.0210041169742057
"HMGN2","HMGN2","oligo2","blue",0.0899377746266461,0.0811731503738167,0.132522537287219,0.0551499861175138,0.0515595425484935,0.0825009286066017,0.0625845935229925,0.0935054907644857,0.0256102360853619
"RPS6KA1","RPS6KA1","oligo1","brown",0.0713118842358901,0.0862565517641277,0.053960520158222,0.062565324980465,0.0526765874707083,0.064337244330723,0.0425018537437376,0.0734018295405107,0.00832539773030087
"ARID1A","ARID1A","oligo4","pink",0.223887465229721,0.224703230665565,0.119210639527271,0.221770917852933,0.251644115073476,0.203583195036245,0.186101438118625,0.181946458938139,0.0457927545258353
"NUDC","NUDC","grey","grey",0.103734496532714,0.0886810043169309,0.109033021862598,0.0941305730732251,0.0698361540491203,0.0796606997119078,0.0754740627309688,0.0699933214825693,0.0234634621203637
"WDTC1","WDTC1","grey","grey",0.115775691385766,0.113726497504217,0.0733007163316279,0.10424972653733,0.0904941719065156,0.102598513259585,0.0880174329650762,0.0951214715898613,0.0166291599426831
"TMEM222","TMEM222","grey","grey",0.0904376506878136,0.0923728847683546,0.108610097188519,0.0625011038478417,0.0599870985321393,0.0721728359559649,0.0582694930931376,0.0784290396379483,0.0104824831363322
"WASF2","WASF2","grey","grey",0.211509968922607,0.205430697405168,0.168147584919239,0.190315149316923,0.160580358847947,0.187407028403227,0.158583106752052,0.172366208643465,0.0417206401812863
"AHDC1","AHDC1","grey","grey",0.0792686157896508,0.0723568121126767,0.0461532587971977,0.0806864919812704,0.0664666734093392,0.0633496348240276,0.0628192473352529,0.0527853333765905,0.0266766294180114
"FAM76A","FAM76A","grey","grey",0.0920143606553009,0.0909153365032188,0.0868614308092337,0.0718681943390823,0.0662797254067077,0.0787993129673875,0.0700372269412837,0.0789823958307808,0.023506119185853
"STX12","STX12","grey","grey",0.170814970700923,0.153908478191482,0.128132549772478,0.158131116531821,0.119657139846715,0.136537909587365,0.128696915186332,0.127133719905503,0.0291299695355475
"PPP1R8","PPP1R8","grey","grey",0.092129165589596,0.0804145140036749,0.085196308174146,0.078352311434283,0.0674633459177142,0.0697480647912904,0.0714761645418429,0.0653259172878528,0.00202505600966094
"THEMIS2","THEMIS2","grey","grey",0.080297255426176,0.0726502855107032,0.0714035113740874,0.0874585485800922,0.069476826707311,0.059817555260329,0.0842083255853062,0.0417960244170626,0.0114578784500768
"RPA2","RPA2","grey","grey",0.0848013517052364,0.0784534899653752,0.0548312593366611,0.0804999474163844,0.0609426835130303,0.0708033600282351,0.0568785502127775,0.067840467467129,0.0193972931244139
"EYA3","EYA3","oligo1","brown",0.171651622988992,0.180167332314939,0.095440478353449,0.168198147222107,0.143152876378321,0.154241693620005,0.155067600444692,0.134337445934977,0.0251684703880808
"DNAJC8","DNAJC8","grey","grey",0.0854064921494465,0.072375278979611,0.0772983074458403,0.0770432254393374,0.0603204788394526,0.0617767982261873,0.063248164580863,0.0608227517998045,0.00487338428986443
"ATP5IF1","ATP5IF1","oligo2","blue",0.0629003256209991,0.0391530179003246,0.110938153293182,0.0533510749282878,0.037995593556961,0.0392077484443155,0.0496251588286555,0.0308885100231829,0.0272025972628099
"PHACTR4","PHACTR4","oligo5","black",0.239665940469932,0.239681652889292,0.154973132480583,0.201333945270296,0.175517091452468,0.25554389291963,0.18514561466655,0.226644709938393,0.0430721968168997
"RCC1","RCC1","grey","grey",0.076288514181759,0.0592375961085059,0.0655912909879932,0.0718412993583681,0.0520120493981129,0.0539801504933244,0.0531156820283779,0.0398163352295518,0.0122006351112967
"TRNAU1AP","TRNAU1AP","oligo3","turquoise",0.117965306749419,0.109123360973157,0.0440309571404489,0.135175419322694,0.0966688335184913,0.0900461425833904,0.0914827875331972,0.0656096928073584,0.0272368257551255
"TAF12","TAF12","grey","grey",0.0758745238296871,0.0690913018636749,0.0352010044375757,0.0798714880632596,0.0626427117045117,0.0644855174616977,0.0527579186435078,0.0486654767502054,0.0152248530199431
"GMEB1","GMEB1","grey","grey",0.0832540172449598,0.0841430847539365,0.0475653348407625,0.0818792599430073,0.0705296273463378,0.0676693414557912,0.0674106820863638,0.0563025573004846,0.0146369435958938
"YTHDF2","YTHDF2","grey","grey",0.0939681368364808,0.0866455551469998,0.070716022136911,0.0838622512468105,0.0704670934627682,0.0712727184193017,0.0702239022610942,0.0668416951644802,0.0278543874742829
"SRSF4","SRSF4","oligo1","brown",0.145908993319739,0.16693000630667,0.103442079408335,0.124132205046125,0.124300530965874,0.137009468435093,0.121052643840183,0.144011974282727,0.0392368719265268
"MECR","MECR","grey","grey",0.0992159674933723,0.0903911387045907,0.0707596080545654,0.087052363069732,0.0740948166731583,0.0802576096041817,0.0807199439784875,0.0686159846789302,0.0173660438547759
