"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8"
"BMP1","BMP1","grey","grey",0.0921123333036211,0.0787990313895458,0.0521925518104415,0.0960634297633495,0.0659883758875105,0.0772739101493091,0.0741697993857438,0.0631360171143161,0.0106358235661209
"PHYHIP","PHYHIP","oligo8","yellow",0.00587835252678671,0.00199755755347606,0.0282504587466184,-0.000964406020777834,0.000187492089271194,-0.00540651479921305,-0.0036444940709773,-0.00333265848368668,0.122405887332132
"PPP3CC","PPP3CC","grey","grey",0.159937029446214,0.152183727254773,0.0879270279818968,0.154867477557099,0.127963302548377,0.133077801270707,0.14055102634286,0.117820738408627,0.0351254766940488
"CCAR2","CCAR2","grey","grey",0.0758099233677607,0.0710959417738624,0.0705937246450412,0.0596545267708472,0.0507682427059818,0.0597180384207207,0.0474808344368474,0.061036822075241,0.0263599969726348
"BIN3","BIN3","grey","grey",0.087139292047567,0.0812702830562058,0.0395856800953017,0.0861282778230974,0.0677938424967865,0.0727740204037223,0.0685562684562531,0.0627388626843147,0.0182808425130212
"R3HCC1","R3HCC1","grey","grey",0.0978872777819361,0.0837255666493494,0.0875374971809834,0.102608422397461,0.0752698636701999,0.0610514227043642,0.0905377002552527,0.0319762024629773,0.0250897532860852
"LOXL2","LOXL2","grey","grey",0.0694392554890529,0.0648851801799737,0.0362267344387859,0.074555929636403,0.0584978450426154,0.0563689225526592,0.064487635014541,0.0450377831004893,0.00588923503750569
"ENTPD4","ENTPD4","grey","grey",0.131495897618323,0.121732611374018,0.0660593819819542,0.136352391876383,0.110292887953484,0.115313907074701,0.108037273484203,0.099316770130947,0.0311860186812949
"SLC25A37","SLC25A37","oligo1","brown",0.113668637964127,0.12278118180761,0.0738527302889257,0.0982161389358395,0.0903543542527566,0.0939599391026797,0.0897421598192985,0.0847819006293185,0.0376404958986134
"NEFM","NEFM","oligo2","blue",0.0198912228883893,0.00333947147699584,0.064008717970872,0.0196031175892163,0.0108281118151267,-0.00394093094000063,0.0142589690344477,-0.0102476461656254,0.099581707211434
"NEFL","NEFL","oligo2","blue",-0.0106413849339651,-0.0292171849084506,0.0456641465803858,-0.0105481054598058,-0.0157570555202999,-0.0297303412836248,-0.0138852096177263,-0.0383592886888471,0.0814059565962845
"DOCK5","DOCK5","oligo3","turquoise",0.562041799400245,0.540073962102847,0.314142332119755,0.588772456031943,0.463733483753137,0.533170993701093,0.517165639604085,0.471158550531178,0.0823457425769357
"PPP2R2A","PPP2R2A","oligo5","black",0.334547795053608,0.318752596067007,0.208393417406158,0.3076257777646,0.245884836448763,0.372143085157256,0.259267212675294,0.339675714637966,0.0488800728093412
"BNIP3L","BNIP3L","grey","grey",0.22722283580361,0.190650644727363,0.180305723077862,0.233813890574932,0.155516608620985,0.173923079950117,0.157476600011708,0.139776975875388,0.0407517845325461
"PNMA2","PNMA2","oligo2","blue",0.0037377147799909,-0.00487523732602426,0.0284241906943632,0.000993896405519967,-0.00169491708033323,-0.0067273110581943,-0.00644903633909264,-0.00863733338532146,0.084672968878662
"DPYSL2","DPYSL2","oligo2","blue",0.380078049801657,0.360978008041209,0.370666259947313,0.340694104814999,0.285785437415549,0.334628337707043,0.300926824048769,0.325444520443021,0.084546544858499
"STMN4","STMN4","grey","grey",0.250111139892966,0.195273361523041,0.346272354520912,0.229839731666672,0.154054900585545,0.165991694669656,0.209485749236911,0.142755402615025,0.0271075008134466
"PTK2B","PTK2B","grey","grey",0.0805447915028024,0.0823685903802053,0.0491666344129119,0.0678230434814091,0.0651829392766713,0.0721364452319499,0.0697544421753234,0.0767566925531801,0.0325196705656079
"CLU","CLU","oligo2","blue",0.0810614221732672,0.0485027268850926,0.211180539590176,0.0581944268687279,0.0366379784147311,0.0321761836294785,0.0430184363287401,0.0331843221397788,0.0883107814427335
