"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7"
"AL669831.5","AL669831.5","grey","grey",0.154917853193829,0.132955472479553,0.0729250167890201,0.0801400372444576,0.133605502964757,0.147476365015297,0.0159275469253699,0.144133075990976
"NOC2L","NOC2L","grey","grey",0.101400760705052,0.078280288574899,0.116497318608422,0.107404098914207,0.0687825927243692,0.0696375157875767,-0.0126348844304495,0.0742469208809652
"AGRN","AGRN","oligo1","turquoise",0.119906635236513,0.126587941070068,0.0726979906312167,0.0910356524848738,0.10133321557337,0.0951070292122766,0.0183921120731931,0.0799966452513684
"C1orf159","C1orf159","grey","grey",0.137359060011503,0.133185848071833,0.0649326089751871,0.0764349708065327,0.13674148137708,0.133456157304918,0.0106945800712935,0.129407605413409
"SDF4","SDF4","oligo2","blue",0.130349386270607,0.109480818762984,0.152290207942002,0.147389487422094,0.0952828974877437,0.0981763978090607,0.00233948891140014,0.104907943614834
"UBE2J2","UBE2J2","grey","grey",0.131730122495691,0.123790871302756,0.107279598230091,0.118232610017504,0.107623077397051,0.111625861295077,0.0177159739295561,0.0939975902838471
"ACAP3","ACAP3","oligo1","turquoise",0.150518448189225,0.165645187915346,0.0684308231854192,0.117031084408307,0.136371207470964,0.126545921186325,0.0358166811197533,0.119524801630044
"INTS11","INTS11","oligo1","turquoise",0.15055582783187,0.144148540150858,0.090564431805946,0.111413264719923,0.126183074571934,0.127398447726035,0.0246772673960387,0.119726812418713
"DVL1","DVL1","grey","grey",0.104706450028027,0.105317196427135,0.0925831098022646,0.121581663334213,0.0827024044552569,0.0871095859756242,0.00884874469243278,0.0722122463066395
"AURKAIP1","AURKAIP1","oligo2","blue",0.0563841984590231,0.0208193046877033,0.172535575142868,0.124181932803821,0.0134129181066955,0.0141925569485099,-0.00296467153426818,0.0329146633974794
"CCNL2","CCNL2","grey","grey",0.200215902332483,0.195197474090883,0.122558223348936,0.150016091899133,0.176779632353737,0.179347130013465,0.0258717321167541,0.166162201518271
"MRPL20","MRPL20","grey","grey",0.086633859823781,0.0612406790812485,0.129994565360362,0.11092777962588,0.0597206636615894,0.04676220317246,0.0276673564842051,0.0552149128751368
"ANKRD65","ANKRD65","grey","grey",0.102553416401414,0.0843245616186953,0.13366485493063,0.120910810714749,0.0866476518979184,0.0762603963532358,-0.0134437794851841,0.0799954576364014
"VWA1","VWA1","oligo2","blue",0.167318807325769,0.104741106917966,0.284034908589337,0.25719145744109,0.100533762476661,0.100468067925026,-0.00726927758151499,0.132499725242124
"ATAD3B","ATAD3B","grey","grey",0.102574944285048,0.0943940091128979,0.0484721667483921,0.0635984449743863,0.0842164046361041,0.0955300061411844,0.000743208314332048,0.0899004300775629
"SSU72","SSU72","oligo2","blue",0.114851879646337,0.100447966888627,0.126169769937056,0.118535253902487,0.0856377655337602,0.085864839636986,0.0244145040041137,0.0763365327750613
"MIB2","MIB2","grey","grey",0.106217561596593,0.106309342275469,0.07988603219975,0.0985245036754822,0.0847616278065457,0.0913323558091342,-0.00246298027190999,0.0793795068277316
