"","gene_name","module","color","kME_oligo1","kME_grey","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8"
"AL669831.5","AL669831.5","oligo1","turquoise",0.166840481779549,0.167970124904479,0.0984439795412584,0.0312846573239852,0.0813110366928808,0.11750245404795,0.0938203379113162,0.0800979745832684,0.0710683777597754
"NOC2L","NOC2L","grey","grey",0.0758625351491794,0.0896055012801676,0.0843031444577896,0.0614466303521471,0.057218251131413,0.0737107983902989,0.0467236857867553,0.0477713087528712,0.0412587408756513
"AGRN","AGRN","grey","grey",0.103799568167246,0.103886348063869,0.0966450872297988,0.0542895700537005,0.0329440396554781,0.0733403654556437,0.0688062569799677,0.0611240221497574,0.0593412026406389
"C1orf159","C1orf159","grey","grey",0.0966090829522897,0.113641655099913,0.0490083870620821,0.0200123321650403,0.0531634381779992,0.0942286457419107,0.0641685822598841,0.0644145299317425,0.063334249367502
"SDF4","SDF4","oligo2","brown",0.101437237718931,0.11547304172669,0.154132720453941,0.105465699433271,0.0608575995655034,0.0855769633930061,0.0491272985677972,0.0485981564428895,0.0366082591986654
"UBE2J2","UBE2J2","grey","grey",0.104332757504036,0.131304752767191,0.0880902518134878,0.0569105978431002,0.0759811343955365,0.111489171522932,0.064869577504518,0.0615024371903672,0.0541285345037083
"ACAP3","ACAP3","grey","grey",0.12981879183811,0.141250309908737,0.100288066235608,0.0476682804473536,0.0326218004547054,0.10713997508646,0.110293720755172,0.0994648439373387,0.100437498139049
"INTS11","INTS11","grey","grey",0.102814499288299,0.118687116105183,0.100887787820342,0.0715620885711475,0.0569430898016874,0.0909349397758215,0.0698252845402317,0.0619692488011487,0.058740086203385
"DVL1","DVL1","oligo2","brown",0.0683435474007335,0.0754721830841292,0.0966551587389085,0.0736388391766733,0.0573360061300302,0.0688201573280885,0.0411774161743772,0.0417118492389422,0.0225334564866086
"CCNL2","CCNL2","grey","grey",0.155274560650507,0.174385350469008,0.14805664240373,0.0926311889846971,0.0838853834949567,0.14169629858647,0.0910287386224694,0.0888348536281997,0.0726873078049593
"MRPL20","MRPL20","grey","grey",0.0742056115879554,0.0940709859187279,0.0949131277516301,0.0743055337759141,0.0515481942740513,0.0753073227366618,0.0347087439285303,0.0396723957962964,0.0296400454415792
"ANKRD65","ANKRD65","oligo3","yellow",0.0542107869618073,0.0623390741722444,0.106518914045337,0.10765994135048,0.00239457655217483,0.0484870381075514,0.036418225130555,0.034161106426614,0.037734138679139
"VWA1","VWA1","oligo3","yellow",0.0937953807918952,0.108817542366252,0.229626233718635,0.219091725783167,0.00521871961189443,0.0741614270800103,0.060669920262039,0.0481117470874106,0.0798636232172415
"ATAD3C","ATAD3C","grey","grey",0.114548621325813,0.102977535381539,0.058227041274831,0.013481604917565,0.0528512478202737,0.0682145244883217,0.0671458341569643,0.0545838817593233,0.0446924704764085
"ATAD3B","ATAD3B","grey","grey",0.0741156687798164,0.0934856711336893,0.0451745804774305,0.0270459337598111,0.0528412365696209,0.074876694113929,0.0450991646489574,0.0536997013995732,0.0374149185315314
"SSU72","SSU72","grey","grey",0.0676674588406868,0.0935619000653701,0.114782137108304,0.0935466934037567,0.0614492739422593,0.0801341647282467,0.0320421457224536,0.0360590466352399,0.018281556555608
"MIB2","MIB2","grey","grey",0.0773677751534567,0.0913296641454617,0.0857956674818726,0.0533678721445306,0.0377162383211438,0.0695413491078379,0.0487332782769512,0.0465112221570572,0.0422673178056711
"CDK11B","CDK11B","grey","grey",0.115149394799214,0.156176863639693,0.090778552559274,0.0434448569309041,0.101268655751459,0.128876717715111,0.0527572437876932,0.0569516652127106,0.0389318948576228
"SLC35E2B","SLC35E2B","grey","grey",0.135621751201991,0.151783039525673,0.119275763644543,0.0771725307697169,0.0586248803926069,0.117853681994352,0.090074851748386,0.0785371262391465,0.0689826986694629
"CDK11A","CDK11A","grey","grey",0.10925336651374,0.137238051598025,0.0898581360791276,0.0410670073053892,0.0741045382291692,0.104008293682139,0.0501421826221742,0.0443058450689269,0.0380621463218733
"SLC35E2A","SLC35E2A","oligo1","turquoise",0.12761773383924,0.125392375895751,0.0826133247962046,0.0366580026404317,0.0452084296504362,0.0840546675502942,0.0870700408107836,0.0752727388926813,0.0584912149168245
"NADK","NADK","grey","grey",0.0913411818626272,0.0969133698653125,0.0746699936850561,0.0499797637347062,0.0577497910343317,0.0777442178366236,0.0544200693354194,0.0535640015718803,0.0338137447135549
"GNB1","GNB1","oligo4","black",0.273762410993575,0.302555428476152,0.208312232949862,0.135792874242883,0.26163286096391,0.264781975119232,0.157771853638669,0.16474197881568,0.0647512389163693
"PRKCZ","PRKCZ","grey","grey",0.209451316956578,0.227453644861627,0.142117859698725,0.0858467793883397,0.109965500435905,0.191205598017484,0.144692545335724,0.144125155732049,0.0975453900056462
"SKI","SKI","grey","grey",0.139707749841873,0.165864954638086,0.0913840052357626,0.0516461458998811,0.084905943340016,0.13762494545671,0.0898114390650399,0.0961800653267088,0.076318554611611
"RER1","RER1","oligo2","brown",0.124616596074068,0.138455352856868,0.169505988727507,0.113936607902123,0.071146387268188,0.0955302795974775,0.0614008255113417,0.0523925244995873,0.0339260660776283
"PLCH2","PLCH2","oligo1","turquoise",0.199018676412534,0.172946570046949,0.121761045918215,0.0586483737853023,0.09484699703771,0.11782967695971,0.0910231372239037,0.0831400786347453,0.00729674303920312
"CEP104","CEP104","grey","grey",0.144868750208044,0.153596677610227,0.102767841708841,0.0612193789550293,0.0645141008709237,0.117598588956923,0.0946750919389949,0.0855675987616104,0.0675891844004494
"DFFB","DFFB","grey","grey",0.119691874316522,0.121546203727252,0.0660731655199514,0.0371425262145418,0.0508080724545853,0.0961398815517895,0.0927041517004215,0.0793931275440414,0.0635596306237028
"AJAP1","AJAP1","oligo1","turquoise",0.177990330205623,0.166194953744833,0.108229839648377,0.0411638567094877,0.0644509557276885,0.107398491758422,0.107403059024094,0.0898596373997591,0.0745663960439963
"NPHP4","NPHP4","grey","grey",0.0737461751026525,0.092296881530523,0.0479163436990943,0.0312331132244299,0.044138761919473,0.0816066810949753,0.0566212925439951,0.0558971442570488,0.0490639753656095
"ACOT7","ACOT7","grey","grey",0.0828941689541928,0.106349994869036,0.0657357447526289,0.046437648371304,0.0756540160713547,0.0979478818203586,0.0547685946101674,0.0574326434090573,0.0338425639830698
"NOL9","NOL9","grey","grey",0.100808457329868,0.117284518275189,0.0819817400606068,0.049094899033858,0.0504437217032941,0.0910065247271269,0.069255725384456,0.0641004065414029,0.0519739169855521
"KLHL21","KLHL21","oligo2","brown",0.14604405089569,0.166376864104183,0.165933084636313,0.117324233294915,0.118708584562164,0.135970171767112,0.0776912313773397,0.0775520027527242,0.0364226186888407
"DNAJC11","DNAJC11","grey","grey",0.113065617487748,0.131863670051571,0.0804567250842395,0.0515529263775756,0.0578377313502176,0.102765224742525,0.0731614643727602,0.0691969170251187,0.0631517066461396
"CAMTA1","CAMTA1","oligo5","blue",0.285688431973127,0.332100512791686,0.18161193800261,0.108498097064456,0.196989791538154,0.295479102272103,0.190369764951218,0.194244837541556,0.144692170417422
"VAMP3","VAMP3","oligo2","brown",0.149008649061154,0.150088186891912,0.194674375275408,0.12912281501479,0.073584628737096,0.100155173669882,0.0752326701799268,0.0627248938319752,0.0397033865997334
"PER3","PER3","oligo1","turquoise",0.27947164287974,0.264008763416195,0.189922435644059,0.097800287235625,0.151708144290518,0.19072829455564,0.140069106652243,0.132116149967844,0.0473583674649494
"PARK7","PARK7","oligo3","yellow",0.0783348733064724,0.0877733914243432,0.149930893307413,0.146384872290446,0.0617967494434778,0.0696346293711007,0.0334857265916573,0.0310718213527985,-0.000397798825428136
"ERRFI1","ERRFI1","oligo5","blue",0.117805320475005,0.141874821182727,0.105768438451407,0.0828538961456558,0.0926969076567517,0.137991211888223,0.08799246208679,0.102091629068661,0.0462162547881123
"RERE","RERE","grey","grey",0.442435822178715,0.453947479190127,0.245818272101189,0.122981901265004,0.214224841564665,0.370666881910973,0.321154716687092,0.290057897562486,0.252222961219436
"ENO1","ENO1","oligo5","blue",0.038643188075002,0.0844098349560093,0.131661209049008,0.12833161693556,0.101726742303766,0.105263073256674,0.0142922694376207,0.0361444740825661,0.0102298078489897
"H6PD","H6PD","grey","grey",0.128011965233178,0.132101549676073,0.0881456572602282,0.0554640720596441,0.0493147183344276,0.0974118869460631,0.0920075062377643,0.0868326481720585,0.0681233677819213
"SPSB1","SPSB1","grey","grey",0.152493698689849,0.196484491986153,0.10333629302237,0.0565432203768874,0.129032103110679,0.173830291664885,0.100260924412931,0.104241583786262,0.0778249152135448
"SLC25A33","SLC25A33","oligo5","blue",0.054997838446035,0.0972141518984711,0.067991315072872,0.0598339141824003,0.10567706607805,0.121717197273496,0.0262314655821711,0.0457413211438127,0.00874808306907259
"CLSTN1","CLSTN1","grey","grey",0.145945833689795,0.154984328854887,0.145953296300481,0.114438159783372,0.0706933863075994,0.125210668771556,0.105290581841207,0.100158056975483,0.0699724020726853
"CTNNBIP1","CTNNBIP1","grey","grey",0.127255948294909,0.122804428798323,0.0931817603927214,0.0473141195057597,0.0494715331993728,0.0847050481597379,0.0766154827116672,0.0687824999085352,0.0436201592134933
"LZIC","LZIC","grey","grey",0.123799916156278,0.134466298415986,0.123540243559738,0.0829941982590451,0.0613804703431426,0.1039846393536,0.0779108855914575,0.0766674150014619,0.0589368278404288
"NMNAT1","NMNAT1","grey","grey",0.081137185501577,0.0854316280199333,0.0566157498334388,0.0394429910536029,0.0341709696943575,0.0708515584808152,0.0596093214081253,0.0613601095580688,0.0422149408775589
"UBE4B","UBE4B","oligo5","blue",0.322948072085359,0.349004077842248,0.169543924231141,0.0998947173678479,0.200447096760849,0.330041637002392,0.242723954504902,0.244606842217956,0.166318595812105
"KIF1B","KIF1B","oligo5","blue",0.43790041091004,0.467881743979501,0.321249640458213,0.213355325114256,0.228350977313684,0.401849958808775,0.326864170927846,0.308838787113718,0.251519208047521
"DFFA","DFFA","grey","grey",0.112898038670945,0.123894007102168,0.0918030524639114,0.0456235032151572,0.0444540034511293,0.0867141373396483,0.0722311365210266,0.0621891758032629,0.0627856695483582
"PEX14","PEX14","grey","grey",0.116932368115627,0.141700794679385,0.0744875989529067,0.0477301485231308,0.0982889272644817,0.126893040282033,0.0878057230494813,0.0868435216182685,0.0604504099904522
"EXOSC10","EXOSC10","grey","grey",0.104377608393047,0.116962397507584,0.0803722738651036,0.0389091659100528,0.0479066258169849,0.0895727709203667,0.0700542831806141,0.0672570371580406,0.0529869429891717
"MTOR","MTOR","grey","grey",0.159586877356343,0.180571093038503,0.104359273494051,0.0516980877747935,0.0891862307342396,0.146274043508938,0.111375386225857,0.103699828493104,0.0808124726629645
"UBIAD1","UBIAD1","grey","grey",0.0723513113791159,0.0840848521888495,0.0743160818154156,0.0599633777479532,0.0317156768840339,0.0696045334010077,0.0592243751345384,0.0522855959933614,0.0371895848373904
"FBXO2","FBXO2","oligo5","blue",0.0611699458141543,0.0624825115701013,0.146535109611169,0.159028352361675,0.0418093449068305,0.057434204100809,0.0639028682949828,0.0723986342860595,0.001951186444129
"FBXO44","FBXO44","oligo2","brown",0.0741934947320653,0.0787436235293679,0.104438693693726,0.0755512552064525,0.0279904582373641,0.0599684353329048,0.0536526102583884,0.0528905932688874,0.0314434760227862
"MTHFR","MTHFR","grey","grey",0.0924961254329261,0.107206293153457,0.0571729320583514,0.0415653354903067,0.0637163977960488,0.0974141480122701,0.0722848877889764,0.0690031603105755,0.0435967038088469
"CLCN6","CLCN6","oligo5","blue",0.0846535166886868,0.102733466987852,0.0700812218391098,0.0523719644293424,0.0758087514038582,0.103532392648793,0.0619007342672863,0.0622235720409835,0.034378086529937
"KIAA2013","KIAA2013","oligo2","brown",0.082290600353937,0.0883521093162859,0.140241043897481,0.115863694713768,0.0326428755993927,0.0622232720084044,0.0457605476590968,0.0414835015959993,0.0287764344825569
"PLOD1","PLOD1","grey","grey",0.0956456376436357,0.100615740907941,0.0678525115250168,0.0277850083377215,0.0404442153688704,0.0643803904432049,0.0613361860617362,0.0476464306630763,0.0481443928886628
"MFN2","MFN2","grey","grey",0.0721370655624953,0.091636098551733,0.0794621889994206,0.0573654597934862,0.0565332456376053,0.0742606930869043,0.0475675255398764,0.0456627917879413,0.0354029373542805
"VPS13D","VPS13D","oligo5","blue",0.232072586619595,0.256950849704738,0.150504517303383,0.0940886564140998,0.130912590990931,0.222847532402052,0.166703017238418,0.156625479114017,0.120436180041742
"PRDM2","PRDM2","grey","grey",0.212356534100075,0.257928921032758,0.169700233201707,0.109535622433058,0.175269256380891,0.227759458438587,0.12049885596468,0.132145186953199,0.079771282132572
"KAZN","KAZN","oligo5","blue",0.127008915397508,0.196307348739487,0.0804365122237988,0.0664891609477326,-0.000484915071416215,0.196861565071147,0.160181317228296,0.167596333846867,0.238981495397159
"DNAJC16","DNAJC16","grey","grey",0.132966560100173,0.135447445054745,0.107067527293488,0.0702541852398248,0.0650110342383459,0.100646146608999,0.0860173070598841,0.0741134670168097,0.0589487112725863
"DDI2","DDI2","grey","grey",0.190031534878804,0.185654138954757,0.125522615228874,0.0675655745296918,0.105222505433754,0.136092632150806,0.115080564767298,0.102533468906188,0.0376772139109827
"PLEKHM2","PLEKHM2","grey","grey",0.145162446618132,0.160043144536675,0.124138924912443,0.0742350336868995,0.0991012508732582,0.118024413453583,0.077735378723611,0.070155102981441,0.0373552535014795
"AL450998.2","AL450998.2","grey","grey",0.114223046378136,0.122160947808389,0.133335436407691,0.0842736293386325,0.0388222492547643,0.0828251586613864,0.0647215957016604,0.0549876281913377,0.042775622036443
"SPEN","SPEN","oligo5","blue",0.203111356023469,0.253745224809485,0.1747028727761,0.117942222593132,0.148206366440097,0.228742838102718,0.135330388070202,0.147091236653451,0.121881537575362
"ZBTB17","ZBTB17","grey","grey",0.0938842329312314,0.113575617437827,0.0886804256165391,0.0649017457273856,0.04449457000583,0.0943017952769408,0.0715869637267363,0.0671118853003855,0.0645050088555696
"FBXO42","FBXO42","grey","grey",0.178713869035578,0.193659524579617,0.0909702781877826,0.0513232209281891,0.0913546975005646,0.160809046980375,0.129802219992118,0.123872969528838,0.101819292032802
"SZRD1","SZRD1","grey","grey",0.0869921821750967,0.102343304794559,0.102491439394084,0.080660832778238,0.0460266249798294,0.0820555895307809,0.0577509633720574,0.0590809538122175,0.043986559225485
"NBPF1","NBPF1","grey","grey",0.258854868186945,0.239939270046557,0.188123830350755,0.107479192611274,0.122677872140238,0.17817413172482,0.140354442811312,0.131970795528796,0.0504275013417552
"CROCC","CROCC","grey","grey",0.144014112927896,0.170074247030737,0.108288027510108,0.0573006032205121,0.0650588191045879,0.140435185100111,0.10069322478975,0.0986294044423355,0.0903678258910931
"ATP13A2","ATP13A2","grey","grey",0.0912029441715154,0.110821976500588,0.088906235820969,0.0640080404624129,0.0508361696446098,0.0943135472606238,0.0617338000724463,0.0598739560427646,0.045400883458032
"SDHB","SDHB","grey","grey",0.101336483751633,0.130852794679787,0.0885083348363029,0.0611805530293279,0.0854825953639138,0.116214460561345,0.0635469172637259,0.0651970739536355,0.0467090877987906
"PADI2","PADI2","oligo1","turquoise",0.287449725082633,0.260564596283016,0.194534023430706,0.086977959075066,0.102419145322072,0.176213856465944,0.153510186767314,0.134774121043971,0.0854687521062659
"RCC2","RCC2","oligo5","blue",0.0724267561105034,0.0959006519415827,0.0766789069514479,0.0605822848709958,0.0605869115202645,0.0948968226762379,0.0593916617449354,0.0662845771967544,0.0412086322948147
"UBR4","UBR4","grey","grey",0.182326913489136,0.213081938694418,0.138405318237512,0.0876550571781277,0.122835103149342,0.182988096710521,0.117980588034507,0.127473631552637,0.0905129807411831
"AL035413.1","AL035413.1","grey","grey",0.133052887233181,0.157344486715001,0.0729695229647983,0.0313637214060222,0.0557921863073363,0.122524631124302,0.0973446999153418,0.0898102535351623,0.0991791959706491
"EMC1","EMC1","grey","grey",0.0522682520300379,0.0692550900087661,0.0819087763743463,0.0747614688217975,0.0410401884853246,0.0589110820970357,0.0266023904036636,0.0350213683478399,0.0189521691823503
"CAPZB","CAPZB","grey","grey",0.248899077165301,0.268537575375522,0.159263191664628,0.0775288535952797,0.168870802688392,0.211587252287452,0.141128243848448,0.13883518185651,0.081482133832598
"OTUD3","OTUD3","grey","grey",0.0808734026724445,0.099620072536561,0.074089963221951,0.0451025769643527,0.0475765970332648,0.0811363267899246,0.0384123318136356,0.0419171453361953,0.0314621024388032
"CAMK2N1","CAMK2N1","oligo2","brown",0.251473197384988,0.276210493435735,0.366292868624666,0.254669647936683,0.170256076326772,0.234380656680878,0.140497508079294,0.136783111612161,0.0922778496985909
"PINK1","PINK1","oligo5","blue",0.0330030639871969,0.0491069869613603,0.0707173672701998,0.0744488108305688,0.0361026673185975,0.0508845530808892,0.0320454101103395,0.0400926647466078,0.0137146568044934
"HP1BP3","HP1BP3","oligo2","brown",0.356852788373075,0.382870662551067,0.341676308898968,0.206176783038355,0.169196664420752,0.301302940028499,0.239310684791819,0.217012714451616,0.193620339819578
"EIF4G3","EIF4G3","oligo5","blue",0.389121726557846,0.408706351811024,0.253320436431977,0.162011115112166,0.264779449218362,0.371739825979808,0.271717380827324,0.275444889328113,0.153315134101094
"ECE1","ECE1","oligo6","red",0.150840590257284,0.185531294299615,0.088578423787905,0.0383218804047515,0.0503758426865946,0.156420526709063,0.161974187274023,0.126894146849598,0.142561519244808
"RAP1GAP","RAP1GAP","oligo5","blue",0.0348395466736938,0.0479192879293176,0.0388321438087881,0.0380271813017558,0.0226018050936231,0.0576685578451295,0.0457290338318204,0.048178941017882,0.0559024824861968
"USP48","USP48","grey","grey",0.289046748099604,0.302220104790538,0.202928122583543,0.118208275529763,0.164386433935921,0.239110240092657,0.187373518723045,0.179231125051044,0.124940161487224
"CDC42","CDC42","grey","grey",0.158515733614397,0.185272938117767,0.193570176951189,0.150030632093462,0.113924531020883,0.156538531187065,0.0867438266469751,0.0936796868006866,0.0521745869295958
"ZBTB40","ZBTB40","grey","grey",0.124461739991324,0.145764073698904,0.101314851971879,0.0689720319249263,0.0626721555498992,0.119753044646063,0.0968352620051741,0.0949798317910519,0.0837883202814176
"EPHB2","EPHB2","oligo1","turquoise",0.330626116252075,0.304243230177109,0.197411244816264,0.0916103865669736,0.237411138331844,0.225758275769607,0.148395637556944,0.156353310121356,0.011544687604617
"KDM1A","KDM1A","grey","grey",0.100627945437914,0.120173611978866,0.0824478364792213,0.0596660239489929,0.0605302020098293,0.104356399782786,0.0638572932498356,0.0706013362128809,0.0522612699927019
"LINC01355","LINC01355","grey","grey",0.091903156583206,0.0914740279007287,0.0845294250605324,0.0635035168035437,0.0440707979704541,0.0702668415389536,0.0620246348265096,0.0629004364078444,0.0519338049409213
"HNRNPR","HNRNPR","oligo2","brown",0.183607646229431,0.214011224148655,0.212445364084407,0.142909780987362,0.112631132273292,0.173058535910159,0.110764467383323,0.106835461792476,0.0893559806146619
"RPL11","RPL11","oligo2","brown",0.145246235486781,0.167481018645125,0.272124159479841,0.19353247595459,0.0894398751453571,0.114079645783135,0.0428386280108396,0.0427226495872156,0.0135145298142998
"ELOA","ELOA","grey","grey",0.103878525796242,0.11609525287868,0.0784316077325303,0.0398608838871674,0.059686320004843,0.0878472703065821,0.0684736951593394,0.0641627802909008,0.0524256960784019
"ELOA-AS1","ELOA-AS1","grey","grey",0.144692588599225,0.147848682588157,0.0896534716002592,0.0475039059958314,0.0629275193165315,0.109730487158054,0.0928649627886582,0.082233297423952,0.0621605925083777
"PITHD1","PITHD1","oligo3","yellow",0.0640991270349317,0.0979925000233723,0.151001803355133,0.148635675865552,0.0772276669008602,0.0878125874643413,0.0164425278237854,0.0227273991582641,0.0124209323089717
"HMGCL","HMGCL","grey","grey",0.106316859885898,0.109574547666377,0.0783347674230579,0.0478591532339476,0.046916099974724,0.0783355821145962,0.074194195131099,0.0672949222296196,0.0364935380433411
"PNRC2","PNRC2","oligo2","brown",0.103513742746748,0.123042555340893,0.146067311589948,0.0924778197584132,0.0800526947333789,0.0902888070662302,0.0380279450285587,0.0457816143275492,0.0212340867549039
"SRSF10","SRSF10","oligo5","blue",0.15217920339916,0.191242505137485,0.182308531601136,0.135449892740115,0.121497752398379,0.171852021914077,0.0876238785634383,0.0925056450520914,0.0604398878136661
"STPG1","STPG1","oligo1","turquoise",0.134644013880413,0.136675325005867,0.0891830571100842,0.0442055191716732,0.0617973605963309,0.101583335233206,0.0871901410344597,0.0698825721746253,0.0627423028537238
"NIPAL3","NIPAL3","grey","grey",0.250117954526532,0.261923065559745,0.196288355268864,0.129046927007337,0.0980876531992171,0.203931388272023,0.195727341557998,0.171752250330697,0.153059629440313
"RCAN3","RCAN3","grey","grey",0.120321867457653,0.127295852854241,0.0960261934697249,0.0586734270080501,0.051537728621964,0.101091680454984,0.0781360782951209,0.0699675601215385,0.0548843111577018
"SRRM1","SRRM1","grey","grey",0.258546461192054,0.297176357168427,0.207625681520775,0.107651943534336,0.162136061691637,0.23675468169977,0.14490326736844,0.143228939618393,0.10328262946875
"CLIC4","CLIC4","oligo5","blue",0.158729257897202,0.241859492739737,0.189498196877805,0.148966653552201,0.171007441363096,0.260459698263251,0.11056176195942,0.128204270016921,0.12911165135519
"SYF2","SYF2","grey","grey",0.0660088968085756,0.0872907365905836,0.107399027323432,0.0806311315771581,0.0477953646683311,0.0713215768728309,0.0372541960744156,0.0386562072754294,0.0214394937517256
"RSRP1","RSRP1","oligo5","blue",0.242622021871134,0.262344789330963,0.214698259757013,0.158623954542202,0.124255290634323,0.225159095118512,0.159583728536209,0.153576230980922,0.0997742918156939
"TMEM50A","TMEM50A","oligo2","brown",0.13466877994393,0.141749192940297,0.189897146003149,0.133472968647069,0.0757968298295869,0.108084298595805,0.0743719862560567,0.0706493985693183,0.0420598619215818
"MACO1","MACO1","grey","grey",0.172132280027348,0.204325880537746,0.134338298976598,0.0797643443463738,0.120475868658029,0.170784568065613,0.101059247453662,0.100915203305096,0.0785614201650987
"LDLRAP1","LDLRAP1","oligo1","turquoise",0.281623808411818,0.253875224030218,0.20025873572746,0.0879521301752535,0.106012065779263,0.162452648352349,0.145038690601322,0.117274165235275,0.0746150625563331
"MAN1C1","MAN1C1","grey","grey",0.139550997372447,0.134639555099584,0.0973369423758723,0.0565119242631275,0.0700506099423689,0.100987447302582,0.0829916590938708,0.0747359445315658,0.0417410878870258
"STMN1","STMN1","oligo2","brown",0.308886782045278,0.258689602391309,0.504361197249612,0.332081524258901,0.145248372414793,0.132439190526376,0.0877449505838758,0.079093954951454,-0.0308964061108252
"CEP85","CEP85","oligo1","turquoise",0.225023517254421,0.207560279492474,0.145007243112828,0.0712331532894913,0.106197445950632,0.150550006930463,0.113910179393523,0.107681802186073,0.0443701453284245
"SH3BGRL3","SH3BGRL3","oligo1","turquoise",0.130554111320472,0.125035367164803,0.175461630384437,0.107315434466597,0.0703745925335679,0.0794061989413816,0.0508535816288827,0.0423555265125754,0.00954011886808439
"DHDDS","DHDDS","grey","grey",0.0818871417544256,0.107309537623877,0.0721369295451811,0.0490113667622621,0.0709996570046073,0.0940475415870371,0.0502926296750319,0.0478686872400681,0.0331949309846167
"HMGN2","HMGN2","oligo2","brown",0.111790543547842,0.12009503014986,0.160903189821949,0.0963574709546621,0.0550081431132769,0.082572644971084,0.0521685752754339,0.0454141733244578,0.0364242844077152
"RPS6KA1","RPS6KA1","oligo5","blue",0.0470819656648828,0.0768597106385296,0.0567033725694071,0.0507565701100986,0.0505476741080764,0.0874838873637805,0.0388540886417893,0.0486190055526073,0.0441924369485729
"ARID1A","ARID1A","grey","grey",0.251291560606075,0.267082835274832,0.165591779756261,0.0956633964948005,0.119495069565042,0.212864911202712,0.180856311161878,0.165386531202209,0.138732648683239
"NUDC","NUDC","grey","grey",0.117946123550021,0.148920173530982,0.139882262635954,0.0912684786882172,0.0794008446925679,0.109556183440716,0.0555412279024541,0.0566938548330229,0.0422086323379595
"WDTC1","WDTC1","grey","grey",0.105359140196126,0.124415611615198,0.0744546066668376,0.0510419336468762,0.0595401347584217,0.100354822002104,0.0732300138757608,0.0682101530173946,0.0571058921925651
"TMEM222","TMEM222","oligo2","brown",0.0962925927473602,0.108368270537072,0.125026564670034,0.0881994372786623,0.043266013307955,0.0773891683163074,0.0514733030126716,0.0508113811267406,0.0446910136559615
"WASF2","WASF2","grey","grey",0.203747820015628,0.237325810796837,0.184116451704236,0.126893275783113,0.128241297923013,0.198334681685217,0.13730203064714,0.131477337535311,0.107061364429488
"AHDC1","AHDC1","grey","grey",0.087020008909053,0.114027004892964,0.069988415629725,0.0492338088613245,0.0610442243647949,0.101153376487411,0.0627664194666889,0.0681551083488314,0.0498029879228867
"FAM76A","FAM76A","grey","grey",0.0838471308468743,0.0916575080192186,0.0821670363171907,0.0611541017022987,0.0412467624669812,0.0689547650414165,0.0587843973095991,0.0611225654072232,0.0375174392284185
"STX12","STX12","grey","grey",0.163073909421322,0.192769597838372,0.15278388672851,0.107115967841321,0.109549561184843,0.160729121152348,0.106752307203503,0.0959478925125977,0.0802564769460978
"PPP1R8","PPP1R8","grey","grey",0.0932645463634603,0.107898989646221,0.0918565591856274,0.0617361982569301,0.053529608091599,0.0851619120257427,0.0579166256591511,0.0563218360406283,0.043812379802295
"RPA2","RPA2","grey","grey",0.0789448816168356,0.095947684548958,0.0657396543832763,0.0405607835201079,0.0394451630143075,0.0843451554801505,0.0565920946049424,0.0519237107133707,0.0526448596315151
"EYA3","EYA3","grey","grey",0.18087271181633,0.20426211976971,0.119053016323481,0.066082014979242,0.129534862392122,0.171005055019756,0.119837404131738,0.113392681919208,0.0664716421224438
"DNAJC8","DNAJC8","grey","grey",0.0895983401548764,0.100955523233962,0.104175417346469,0.0736186353742262,0.0539250331254532,0.0766299361728548,0.0521545522191059,0.0462707359619227,0.0250401200889368
"ATP5IF1","ATP5IF1","grey","grey",0.0723767682527628,0.0728636997307196,0.113897612237374,0.0919977793246075,0.0364527992802378,0.0517314921307899,0.0471319756853459,0.0333222710351192,0.0277844176835976
"PHACTR4","PHACTR4","oligo5","blue",0.193931172744647,0.234970269669783,0.135023669975442,0.0887069743975324,0.10435506270815,0.210931645980307,0.152117280050615,0.141503896766357,0.13240004816845
"RCC1","RCC1","grey","grey",0.0711011838406914,0.0982934394919707,0.0760939890919991,0.0524947903949296,0.0742747552250864,0.0866480785582305,0.0329791532302971,0.0379677109730319,0.0191865140702785
"TRNAU1AP","TRNAU1AP","grey","grey",0.11729685090098,0.143707766060728,0.08014291294411,0.0596780403880452,0.0779985257547957,0.125549778310926,0.0768224492758091,0.0711813953407584,0.0657682618948477
"TAF12","TAF12","grey","grey",0.0664822718797702,0.0848868729315899,0.0456575731805616,0.0396358916205995,0.0535002413362909,0.0837835994005581,0.053257317257154,0.0609264485105014,0.0390857760486601
"GMEB1","GMEB1","grey","grey",0.0823354974477418,0.0933831681078473,0.0474714708123862,0.0291775210881425,0.0576913945530056,0.0815661828733743,0.0575438207974093,0.0554207617548163,0.036756419647764
"YTHDF2","YTHDF2","grey","grey",0.0919742354080976,0.122525717650952,0.0910843671911014,0.0617407296713556,0.0802569461117897,0.108284803344898,0.0653347031837035,0.0654314322531789,0.0476060999392865
"EPB41","EPB41","oligo5","blue",0.00134835985154118,0.0467108047699031,0.010152211971628,0.0227822366851878,0.118406570383649,0.0913975065478588,-0.000586147461370365,0.0331811704513355,-0.0053644487484734
"SRSF4","SRSF4","oligo5","blue",0.133496915299599,0.172135881468288,0.108143055756871,0.0727114748099931,0.110170765749217,0.161812678909942,0.0826723663926686,0.0872491446960529,0.0653129071353613
