"","gene_name","module","color","kME_oligo1","kME_grey","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8"
"PEA15","PEA15","oligo2","brown",0.252354399314219,0.241758584595626,0.380481648305624,0.255041808187985,0.148056117971845,0.154812293222915,0.0922109873385072,0.0896945686757879,0.00173083735338321
"DCAF8","DCAF8","oligo2","brown",0.0733657133785248,0.0780691368104315,0.0920605499959134,0.0549455626324542,0.0341976491797183,0.0592438994145082,0.039998791768095,0.0387423562863987,0.029975352101358
"COPA","COPA","oligo5","blue",0.214635070736964,0.277437266255743,0.233943126453755,0.224488677264571,0.195462828755,0.297138853614442,0.187314828551131,0.205998665828198,0.122062114229757
"NCSTN","NCSTN","oligo3","yellow",0.0928779006804331,0.0910024683735533,0.14435185750204,0.129839068628158,0.0337920164344864,0.0682353129929222,0.0582136763485072,0.0537499184384792,0.0446925337523575
"PFDN2","PFDN2","oligo2","brown",0.10690062963535,0.135570301266385,0.198930810517787,0.152909564068982,0.114645071901833,0.116441897703906,0.0462520537913736,0.0497661309508714,0.00551008600920192
"NIT1","NIT1","grey","grey",0.0601968039734388,0.079371242338452,0.0815536132227845,0.0646754784768816,0.0491945018282618,0.0704740860753147,0.0438693584998231,0.0422888134037228,0.0297748742602101
"ADAMTS4","ADAMTS4","oligo2","brown",0.159387951659646,0.169799497424876,0.188017141995745,0.129489357026357,0.139284811879093,0.14101934607068,0.0737847135580401,0.0789525576173141,0.0169132809800183
"NDUFS2","NDUFS2","oligo3","yellow",0.119535954879698,0.136216367615938,0.161476892078334,0.1480424382677,0.0750517964584108,0.117536526706867,0.0746385931926405,0.0708265014380689,0.0536710946410237
"SDHC","SDHC","grey","grey",0.136935552175738,0.152353110698468,0.106989482917691,0.0744196989313235,0.0666385323451277,0.119072879366358,0.100876973010684,0.0897935130977213,0.0801542397675829
"DUSP12","DUSP12","grey","grey",0.0693034229895233,0.0850386440720838,0.0759466051804651,0.055223145383601,0.053538514194203,0.0722233467451105,0.0331087355513574,0.0400999246750306,0.0221532093248736
"ATF6","ATF6","grey","grey",0.236229131026922,0.260298835476026,0.168847519054056,0.0883786002518699,0.146019118465453,0.201841342184527,0.15154971500044,0.134675796350787,0.106815407667472
"NOS1AP","NOS1AP","oligo1","turquoise",0.247996723720986,0.234076837940939,0.142997584627612,0.077384897482017,0.129541242505911,0.178400407659964,0.16380673862445,0.156680777149156,0.066962219124941
"UHMK1","UHMK1","grey","grey",0.116468909329914,0.130436633967439,0.128782734326856,0.101668407473743,0.0720528453256156,0.107963375132024,0.076538007821454,0.082037953471838,0.0498840407809813
"HSD17B7","HSD17B7","oligo5","blue",0.122592662189887,0.140265153436912,0.116955858143457,0.118457706108695,0.110093326383182,0.165770784592093,0.110002579305149,0.113972848827717,0.0331362762059547
"PBX1","PBX1","oligo6","red",0.264769992511726,0.273396724140824,0.153041012164218,0.0710355122698371,0.0487741050407642,0.197096953210307,0.260878096737953,0.184735420680148,0.222006422497741
"MGST3","MGST3","oligo2","brown",0.220812431549,0.203054141696062,0.239124684853158,0.154294135776789,0.127615706171983,0.13188974533323,0.0901134184934899,0.0865592104803505,-0.00564383047456987
"TMCO1","TMCO1","oligo2","brown",0.125622329386598,0.124734678957595,0.152810599866834,0.102251078274231,0.0623367817175053,0.084049511729222,0.0521512212635671,0.0521101801630777,0.0172934401750782
"UCK2","UCK2","grey","grey",0.152968181431537,0.153255681689651,0.0847647110285822,0.0437827490170944,0.107246723852839,0.120245857958935,0.0798190827753473,0.0810235982547974,0.0289563482681923
"POGK","POGK","grey","grey",0.156781903858784,0.162406368323922,0.13799523201023,0.0883427685130236,0.0687834646261235,0.117007970947848,0.0983244187183574,0.0829878657838977,0.0762217635041455
"TADA1","TADA1","grey","grey",0.109671624784351,0.117126703028616,0.0860487290421938,0.0493073926536568,0.0463459187783341,0.0908848512741267,0.061798975277239,0.0574115043819532,0.0503692922154876
"POU2F1","POU2F1","grey","grey",0.236714647497186,0.259219967140286,0.15492678773926,0.0921864264859768,0.122963615217934,0.221888764829239,0.184453625850705,0.174284578143512,0.1616248711048
"CREG1","CREG1","grey","grey",0.076555835638213,0.0830013113405835,0.0937600570227843,0.0666651470648312,0.0329918270744932,0.0610958940335343,0.0456353599563815,0.0419280201636948,0.0425043217079166
"DCAF6","DCAF6","grey","grey",0.159794270351036,0.175322152308197,0.12229873384763,0.0854709889312991,0.0924113581578809,0.14821563478967,0.117872328997154,0.114554729045537,0.0969496787106857
"TIPRL","TIPRL","grey","grey",0.089523976908354,0.107191639062889,0.0897613567852493,0.07147823228294,0.0614738927028861,0.0906991584445986,0.0533102563973325,0.0524573361801123,0.0329446775347462
"SFT2D2","SFT2D2","grey","grey",0.126481522527442,0.171854376966393,0.152102577530846,0.114773404911574,0.155359179386917,0.153886014531119,0.0566039246664615,0.0648673405141929,0.0183512035005914
"ATP1B1","ATP1B1","oligo3","yellow",0.290165628621373,0.326204958625642,0.434935198027956,0.445524049501482,0.192344260984884,0.304304668010464,0.220742997568214,0.235814761727879,0.124183020021833
"NME7","NME7","grey","grey",0.18583096561959,0.192812509880247,0.139443146049594,0.0744025797397403,0.0886090422377148,0.136851086974301,0.109308681641888,0.101848742890998,0.059925254752368
"BLZF1","BLZF1","grey","grey",0.198091510793567,0.212043159677118,0.133454557239957,0.0640483338259338,0.0946485272294107,0.148210015586981,0.120777278738732,0.102668171041374,0.0795102149411062
"C1orf112","C1orf112","grey","grey",0.100424060717969,0.105705079250891,0.0626031489590557,0.0238519525425212,0.0266659250065935,0.0732971782943579,0.0723182211249376,0.0547120664857742,0.0694508701915343
"SCYL3","SCYL3","grey","grey",0.099889049227675,0.108758578753244,0.0778279478684993,0.0478576017174059,0.0422004911594134,0.0841576971189877,0.0782911239053337,0.0721413572175607,0.0621295387407113
"KIFAP3","KIFAP3","grey","grey",0.171016061352295,0.194603341536484,0.14667393680705,0.0918316444015936,0.114238500343846,0.150571630285264,0.105453780140703,0.102797251954742,0.0764029514580539
"PRRC2C","PRRC2C","grey","grey",0.342958446001878,0.369372647271609,0.244242304493623,0.120661824856097,0.204867603079578,0.287690831165303,0.202804378325863,0.200830778742197,0.141480635878251
"VAMP4","VAMP4","grey","grey",0.0782260948728023,0.0898718003838393,0.0737753251250218,0.0620422426864067,0.0473557571410235,0.0734551916579738,0.0617429095195862,0.0570369085279994,0.0465924613058345
"DNM3","DNM3","oligo4","black",0.590981353666309,0.635586562184782,0.401139102320231,0.22121768025884,0.546916652646046,0.574306883773502,0.349851566620159,0.370141899710265,0.207530917247887
"PIGC","PIGC","oligo5","blue",0.128623739757463,0.158594230619401,0.183434882979935,0.157340295438172,0.0842500912285777,0.149294405246256,0.0734692189479382,0.0813765420184891,0.0509723553320982
"SUCO","SUCO","grey","grey",0.154489508832348,0.187355402007802,0.14542939345451,0.0984765331604906,0.12525319680246,0.158410907882327,0.0867065177107651,0.0974360745292682,0.063421105080974
"AL645568.1","AL645568.1","oligo1","turquoise",0.180560563930747,0.166539840794777,0.100006935193815,0.0485845011520018,0.0675896216417751,0.117338679426954,0.126520457065382,0.106301360383979,0.0785473397945837
"PRDX6","PRDX6","grey","grey",0.0601949673012191,0.0775854278318978,0.0819625888239904,0.0586502150213722,0.0361146431434563,0.0594844811980668,0.0272052586733508,0.0304908765622672,0.0215715764503202
"KLHL20","KLHL20","grey","grey",0.118705556277425,0.144586630119162,0.0831026751382638,0.0510125279121706,0.070295746206742,0.118011296121626,0.0848665017882227,0.0735789438238712,0.0594691984057385
"ZBTB37","ZBTB37","grey","grey",0.219211995563196,0.234261555929929,0.163594007125242,0.0954722147886477,0.142101457262123,0.200707273208963,0.139170151539689,0.14772099240012,0.0860758042986535
"RC3H1","RC3H1","grey","grey",0.18728832110846,0.248867734169432,0.171369506967223,0.112634699915911,0.18929992366762,0.230073189431415,0.108012452159294,0.117178811238112,0.0832316720876956
"RABGAP1L","RABGAP1L","oligo6","red",0.289937790318416,0.311435653837394,0.206685845962177,0.137864595977837,0.165443747865818,0.263618539806463,0.279513973055389,0.227985383912292,0.171469288702205
"CACYBP","CACYBP","oligo2","brown",0.134066842910347,0.155862907876975,0.188535861258283,0.133488378757179,0.0952511175695934,0.115885608760392,0.0547503681541391,0.0645941096807627,0.0400682713144456
"MRPS14","MRPS14","grey","grey",0.0895024752278115,0.102884103528678,0.0975851528177758,0.0588641710365403,0.0435482908961871,0.0782359578519313,0.0544955561057356,0.0504514999731107,0.0460806882604812
"COP1","COP1","oligo5","blue",0.232742052529127,0.269486631085951,0.154340219909002,0.0980938373728621,0.171984895688447,0.249496608839906,0.157635032749289,0.162065248043847,0.116512230535448
"ASTN1","ASTN1","grey","grey",0.0967607602376026,0.095011755896141,0.0683122032446457,0.0410126651880003,0.0487199369799298,0.0738167024588215,0.0671137628082918,0.0763203164287489,0.0348209998675505
"RASAL2","RASAL2","oligo5","blue",0.11917681298231,0.171720638447794,0.1256767388284,0.101555478683343,0.20040467994896,0.170558355410476,0.0502276912098026,0.0771082894878057,0.000375723781134319
"FAM20B","FAM20B","grey","grey",0.136596681372549,0.137958152680949,0.0924526379999091,0.0611163666896311,0.0809732138220747,0.108422068849846,0.0922104413303391,0.0875196702933123,0.0499022276594341
"ABL2","ABL2","oligo5","blue",0.128130015444612,0.154008761417667,0.0904402930408965,0.05973251636673,0.0925893955266609,0.138433992351257,0.0858884625838969,0.0896838709983364,0.0627293289432962
"SOAT1","SOAT1","oligo5","blue",0.056755894469869,0.0751209173859066,0.0538666223719661,0.0450960535553238,0.0425716170932876,0.0807258646318978,0.0479570876612859,0.0544491155054362,0.0387926685543279
"TOR1AIP2","TOR1AIP2","grey","grey",0.139728948826777,0.166113010384436,0.131199511826543,0.0885549723236306,0.0986269441097298,0.137405510075767,0.0858447572802408,0.090818447595068,0.0619404025490252
"TOR1AIP1","TOR1AIP1","oligo5","blue",0.11025542862122,0.129702527506216,0.106399095615717,0.0794573143696765,0.0779149979231503,0.118980313689029,0.070770353792332,0.0696508004009191,0.0557131159281337
"CEP350","CEP350","grey","grey",0.306962295770742,0.332212948978267,0.24201233567403,0.146778329555541,0.181259505674359,0.260075548928226,0.197665962047807,0.186360049254043,0.13278392758667
"QSOX1","QSOX1","grey","grey",0.118364461336131,0.122160137924602,0.108481559221624,0.067603197290634,0.0601428959619149,0.0874201866416996,0.0651169861482848,0.0584086920754723,0.0352854214705209
"ACBD6","ACBD6","grey","grey",0.254029649760657,0.270539093654795,0.165805578601263,0.0857200488653918,0.132046429147664,0.204586174357767,0.169558525158566,0.148959512223332,0.129559309209561
"XPR1","XPR1","grey","grey",0.143477456987811,0.172186195008043,0.10806142444279,0.0739810763157345,0.102190267430357,0.153624607737633,0.100673564455742,0.107194315634569,0.0820300163104894
"STX6","STX6","grey","grey",0.0973281067277092,0.113816793277312,0.0740559134777444,0.0345125665738076,0.0353424741467287,0.0882204435390743,0.0676929658689546,0.0611847810423654,0.0843883171175896
"CACNA1E","CACNA1E","grey","grey",0.079642727245346,0.096180863215222,0.0409840304923421,0.0167324939797186,0.0258986781222435,0.0752635723052689,0.0595837749558171,0.0655083949553634,0.0589976497491704
"GLUL","GLUL","oligo3","yellow",0.197268656545885,0.28270166505178,0.336831148922827,0.294391064261721,0.316746074692685,0.28043080102558,0.0639223436954445,0.113145747942457,-0.00832346713047163
