"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8","kME_oligo9","kME_oligo10","kME_oligo11","kME_oligo12","kME_oligo13"
"SLC35E2A","SLC35E2A","grey","grey",0.0981388783631023,0.0528474897585497,0.0455006975848781,0.0836269285853385,0.0877113559313425,0.0954160214989047,0.082660143430137,0.0908350024020581,0.0517514437356622,0.096357765185369,0.0644165699193952,0.0680166962874538,0.0144701347158411,0.0606351523525419
"NADK","NADK","grey","grey",0.0842937780849843,0.0329011486792329,0.0504208789878616,0.0830066954626656,0.0891217923829799,0.0741411915729293,0.0611317733268021,0.0689225604056474,0.0382490731340623,0.0793867583969966,0.0630515372010072,0.0719929906360314,0.0292459836308999,0.0465478099201389
"GNB1","GNB1","oligo4","turquoise",0.319971656121551,0.125783233056785,0.16295968088915,0.267046787854961,0.342113063270606,0.310054301587897,0.262352124429755,0.279121780663408,0.175461544265963,0.347944540428956,0.2429843605909,0.288300266547626,0.0424807241523327,0.189894341379672
"PRKCZ","PRKCZ","oligo4","turquoise",0.207865879220426,0.108373787396642,0.0822922474411337,0.173276903510985,0.215904002842286,0.221225370164119,0.207315241511945,0.186179281735344,0.0996417029515358,0.24321113611536,0.151465542589983,0.152836330682023,0.0405652415847683,0.151032828137244
"FAAP20","FAAP20","grey","grey",0.0977694388123808,0.0389371525277252,0.0941741849319754,0.0902588622508518,0.0815496541097617,0.0777776541299204,0.0556615775634257,0.0712971069259465,0.075663896822915,0.0666522184703089,0.0667726245543762,0.0973455758492423,0.00655688722934489,0.0519379148941104
"SKI","SKI","grey","grey",0.157992835875794,0.133552225959178,0.0533713227362663,0.149166075149823,0.11286468233374,0.167528732023924,0.173763874398833,0.161395979554983,0.101736891984852,0.161045193247396,0.0779350422270991,0.0647879168060798,0.0211613275906192,0.127082955385775
"RER1","RER1","grey","grey",0.122191736773587,0.0754829817717847,0.13086578270444,0.106908885297224,0.0744570000297112,0.0776070040760419,0.0720890766737454,0.0818824123685367,0.10372713552692,0.070485313100111,0.118275651691449,0.119311236109981,0.0162743158089417,0.0653978266997905
"PLCH2","PLCH2","oligo4","turquoise",0.162634802263534,0.00529929881000979,0.0428322253422292,0.115047609157813,0.239896526952753,0.177021730124621,0.127333688195623,0.119303980244155,0.0386332647762388,0.215189136408452,0.140650779892663,0.168173327792671,0.0270471753832885,0.0811561484039979
"TPRG1L","TPRG1L","grey","grey",0.0424068222557633,0.0268910155912379,0.0956128429091431,0.0352175202624717,0.0159266736343362,0.0106237940679467,0.010255534601725,0.0370459479798242,0.0810866953663528,0.0129256777688646,0.0380320812404706,0.0726626464774996,0.0161242720909685,0.0110938059024249
"WRAP73","WRAP73","grey","grey",0.0606765186223783,0.0462453370009173,0.0578701640521978,0.052221618427799,0.0240710096617812,0.0304487426150126,0.0418671365232262,0.0561022870663182,0.0622103562275684,0.038412229108234,0.050575192605808,0.0438467142082148,4.57171159464062e-05,0.0313324568786019
"LRRC47","LRRC47","grey","grey",0.0663383376147376,0.0569452508589093,0.075792298605051,0.0680432515246735,0.0330626743335216,0.0502708024353812,0.0473694332329849,0.0642660653363357,0.0706993012620723,0.0458553186502939,0.0443094418560277,0.0582921581481423,0.014837251123712,0.0317312913511923
"CEP104","CEP104","grey","grey",0.143808815478487,0.0963749995649871,0.0740351083994271,0.12543986645149,0.116781354424546,0.132517569862076,0.121128919125047,0.125321129026101,0.084274752289495,0.130897513495332,0.10233660214459,0.099146102146556,0.0210373850581579,0.0930065286330331
"DFFB","DFFB","grey","grey",0.117753532638525,0.0822857675149638,0.0378137129225331,0.106533202124641,0.099308574371065,0.118993516165608,0.105981057387114,0.102361097708343,0.0516115522961562,0.110933864550717,0.0836886362935562,0.0583402189278519,0.016713713326004,0.0916364880986251
