"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8","kME_oligo9","kME_oligo10"
"MIB2","MIB2","grey","grey",0.0984579651067403,0.065645514551441,0.0567994292739353,0.0866035948957101,0.0895289584190361,0.0801312498511578,0.0705477207120659,0.0896554949530424,0.0431588014119366,0.0856210407332313,0.0732932301194304
"CDK11B","CDK11B","grey","grey",0.140456639878178,0.079163613742599,0.0640530140386592,0.124715692008547,0.130998033225855,0.118524831561977,0.0885986078806569,0.126604337720332,0.0663915058609684,0.125605056004941,0.103419665845348
"SLC35E2B","SLC35E2B","grey","grey",0.152545159610768,0.098172984548787,0.0799305748728186,0.130303190475242,0.140719564215494,0.11586370124716,0.099536139239236,0.147565901989143,0.0796067711703207,0.133966450630225,0.102906864836091
"CDK11A","CDK11A","grey","grey",0.102272300168039,0.0490377690333182,0.0420653803693722,0.0951320024153238,0.095492649754861,0.0877252045756724,0.052768579622532,0.0953689903245541,0.0567943084938753,0.0934533787396271,0.0786236572942123
"SLC35E2A","SLC35E2A","grey","grey",0.138829862397875,0.0695473879318206,0.0573459486468923,0.126391951307849,0.137386753615804,0.12497285536165,0.0812658510148954,0.129527481634545,0.0602588911291817,0.128384265073792,0.105353567805382
"GNB1","GNB1","grey","grey",0.319241236950636,0.180055318906565,0.158869698150593,0.310612879130686,0.305200693126868,0.292638927641563,0.194110066852039,0.289137831514685,0.156176637452902,0.302103599756526,0.272971518810744
"PRKCZ","PRKCZ","grey","grey",0.223667602363559,0.109307923867193,0.101264471460942,0.238551077262328,0.216674841662871,0.20783635186417,0.121353276972279,0.199899221244601,0.110380658929594,0.227210792156757,0.211291217099602
"SKI","SKI","grey","grey",0.15713201998949,0.0690733888506014,0.0450885853118457,0.140734030954391,0.15594286963836,0.12484240993252,0.101823634283422,0.153951280721165,0.0341165110789726,0.147936559987664,0.112097235925664
"RER1","RER1","oligo2","red",0.111860126464279,0.123796646267129,0.145099778739709,0.0895036362011109,0.0905955330872672,0.0881232107575024,0.0972751311339998,0.0880483147577903,0.0906055726109629,0.0847838142466817,0.066372022145562
"PEX10","PEX10","grey","grey",0.0459572306944242,0.0552792033150034,0.0546215113825644,0.0367487498058732,0.0358608515438944,0.0347375130169383,0.0408275105957026,0.034989372639101,0.0394709081532637,0.0355064180282783,0.0275368932254158
"PLCH2","PLCH2","oligo3","brown",0.144218911862586,0.0795080541049967,0.0838849599558913,0.206893815809884,0.134977359440154,0.159234744423575,0.0576335156824138,0.115765554662778,0.101495396083458,0.169044148385612,0.195948973441976
"WRAP73","WRAP73","grey","grey",0.0662488305919283,0.0535149093110089,0.0508141804557787,0.0537629458943862,0.0595151901401993,0.0540037418860868,0.0464934906523075,0.055234387890625,0.0383866137988214,0.0550966404272488,0.0406237246229909
"LRRC47","LRRC47","grey","grey",0.0915611189773793,0.0799661904403474,0.0650617786577037,0.0725212621940903,0.0807532268404916,0.0670075032557075,0.0712274150917116,0.0809663339833024,0.0450176840479723,0.0740403837626259,0.0558685918514309
"CEP104","CEP104","grey","grey",0.176840463401493,0.0996496373846725,0.0867396714042016,0.166447455249225,0.167811131584836,0.169575789663998,0.104951429015037,0.155702042286728,0.0871466512594078,0.162580954458235,0.147419029344966
"DFFB","DFFB","grey","grey",0.126697142679235,0.0636717043577544,0.065455582296622,0.125108554093322,0.119674014261373,0.112795873728909,0.0707002100152267,0.116015661265033,0.0693557805173232,0.119014292293455,0.111531399310088
"AJAP1","AJAP1","grey","grey",0.158207387334321,0.0701562541030301,0.0491319386342202,0.135622673351287,0.15525248388659,0.114459215925975,0.0972469072262331,0.166084150680402,0.0377027587302628,0.149888094096781,0.102565521916478
"NPHP4","NPHP4","grey","grey",0.112644022158411,0.0447630455087566,0.0382204955431126,0.103661639438806,0.110510652425804,0.10514705188611,0.0569701190254718,0.101899562929716,0.0472598573162323,0.104694566595518,0.0924912291281055
"RPL22","RPL22","grey","grey",0.0764169457739132,0.0873698899103932,0.0705631796476064,0.0566889794266499,0.0608883721233226,0.0474100870487528,0.0825874855996326,0.0685590177413235,0.0461273313525362,0.0572089503750722,0.0370877696295284
"ACOT7","ACOT7","grey","grey",0.104702768644891,0.0731348623123137,0.0636373864534238,0.101804061624955,0.0963074381978688,0.0932904912126253,0.066904319132371,0.088781725486418,0.0512934266367733,0.0987921932351817,0.0896366914803926
