"gene_name","module","color","kME_grey","kME_micro1","kME_micro2","kME_micro3","kME_micro4","kME_micro5","kME_micro6"
"AL669831.5","micro1","turquoise",0.215486153044919,0.197597144183843,0.161365412675329,0.129414901000041,0.171193786765855,0.145077530784784,0.0464232436660985
"UBE2J2","micro2","brown",0.113902821308311,0.10626121311785,0.100130806604597,0.048402459150542,0.104994882972604,0.0591471851376238,0.0125592543507916
"INTS11","micro1","turquoise",0.096964391774176,0.095330788530536,0.062974561928911,0.0696374325233393,0.0651831547140585,0.0943855860150778,0.066102929097918
"AURKAIP1","micro2","brown",0.0327765469995449,0.00148080440303706,0.0745942535811711,0.0309955851225528,0.0335888507493109,-0.0160186968641153,0.0892894465362146
"SLC35E2B","micro1","turquoise",0.128065853647438,0.123486010799556,0.099016767806089,0.0536826144657303,0.117329600457252,0.0678101459263953,0.0278910171339328
"CDK11A","micro3","blue",0.0913773533133648,0.0896891674079278,0.0523892217970776,0.0760076893620747,0.0639548696923926,0.0789769367542507,0.0283289549071811
"SLC35E2A","micro1","turquoise",0.0973304022833589,0.129286211760566,0.0575355279134189,0.0400112048294368,0.0855663510790384,0.0327324573576354,-0.0114219348758162
"NADK","micro1","turquoise",0.11942739580491,0.160278525921458,0.0507737519866336,0.0409442953140242,0.0903061114879155,0.124785534028875,0.0225518812252756
"GNB1","micro3","blue",0.298494756420716,0.261500944764399,0.211107877809754,0.226158224465512,0.254057432790394,0.235374573535364,0.0680897449563354
"CFAP74","micro1","turquoise",0.0744151292653963,0.0855769223083589,0.0559536499495017,-0.0133017480296977,0.0999414801084468,0.0017795189013552,-0.0294703969222734
"PRKCZ","micro2","brown",0.100899212687808,0.0145371388950693,0.187712227814307,0.0635348938741793,0.165460707506574,-0.0420218030200039,0.0318920258172488
"SKI","micro3","blue",0.272864013109811,0.232861907784149,0.22830158531909,0.186393872644119,0.254583245766175,0.188350360716776,0.0596280106779423
"MORN1","micro1","turquoise",0.0572256100933178,0.0601996512205059,0.0480882019827484,0.0215569414334162,0.0823019354976584,0.032214527881503,-0.00750975232857207
"RER1","micro3","blue",0.143362661371463,0.0923899016217102,0.12625846068468,0.159632494550541,0.121262668912748,0.0860097675229805,0.087766945274448
"TNFRSF14","micro1","turquoise",0.112206020449735,0.119035117246971,0.0770368583582239,0.0548350506668088,0.0816114059778158,0.0941386701681687,0.0894820447842517
"CEP104","micro1","turquoise",0.109450180653939,0.0952829006056041,0.0867277233036234,0.0646082563833901,0.115593999546231,0.0298980610801419,0.0485790511336953
"KCNAB2","micro1","turquoise",0.155907916745368,0.158036637682561,0.122245321719827,0.0835342886138782,0.137930603803132,0.111611566048196,0.0608508621963761
"RPL22","micro2","brown",0.0342428140290152,0.000125033984047728,0.0846549813752629,0.0357282096128662,0.0595817305824529,-0.00375646852632572,0.0873701486878237
"PLEKHG5","micro2","brown",0.107576854435935,0.0455735550887488,0.142738702622524,0.0591939560035529,0.125004084828222,-0.00519171842527653,0.00298336755758975
"DNAJC11","micro3","blue",0.153964474972445,0.126511557919916,0.108472303743496,0.138119120014652,0.135127335265557,0.0972573115027607,0.0653072343715047
"VAMP3","micro2","brown",0.129930567052619,0.0803785445998275,0.157586018261322,0.115658578445054,0.125646918881198,0.0580902244608578,0.141825367992237
"PER3","micro2","brown",0.18315765732794,0.0713855005498616,0.220705897718433,0.164886606922809,0.196159533948269,-0.00751689814621052,0.0794551664008221
"PARK7","micro2","brown",0.117620247924419,0.0191541024057609,0.204312751959716,0.0981666015449634,0.127298109033341,0.00613366061200622,0.104873595100905
"ERRFI1","micro2","brown",0.0692804380700663,0.0353599002760246,0.0988907193049504,0.0402623260441042,0.0776375713934154,0.0276745723217123,0.0371837111506017
"RERE","micro1","turquoise",0.435622546135656,0.531976701716726,0.270492602852666,0.185529072853109,0.424364725371292,0.359439935927753,0.0578253364531022
"SLC2A5","micro3","blue",0.0541055388367502,0.0998248021862299,-0.0776436600327374,0.130587646257246,-0.0080623172703088,0.17024899389719,-0.0127249250381749
"MIR34AHG","micro4","yellow",0.217725412635278,0.192252738213541,0.199820068077175,0.069325072923362,0.270691877513089,0.0617549534837561,0.00627638226825921
