"gene_name","module","color","kME_grey","kME_micro1","kME_micro2","kME_micro3","kME_micro4","kME_micro5","kME_micro6","kME_micro7","kME_micro8","kME_micro9","kME_micro10","kME_micro11","kME_micro12","kME_micro13","kME_micro14","kME_micro15"
"NOC2L","micro1","brown",0.0751338575996594,0.114098005930442,0.0558150391907972,0.0624927525421564,0.0251327845793354,0.0429329666835363,0.0798248106509197,0.0459424156729272,0.0218773555701129,0.0534552136757319,0.048570381521587,0.0271429218241956,0.0212987504158655,0.0591943570894597,0.0781077985401708,0.0644666066114193
"C1orf159","micro2","red",0.0777530961961589,-0.0123382637399002,0.073553223827464,0.0542179378673198,0.0446574815287164,0.0553004000833639,-0.00741677786211651,0.0690694435605036,0.0633433466709569,0.0540997381455799,0.0222729929839697,0.0202315892720679,0.0394212347110943,0.00882293545854709,0.0410015902194754,0.0125825082963554
"SDF4","micro3","greenyellow",0.111723145682546,0.104686714171484,0.0800374998793129,0.141147432551145,0.0711691696610375,0.146772965983066,0.12395925275139,0.061569824692793,0.121185369502554,0.0178529855609019,0.0809508062809829,0.0662848777995235,0.0664209039816745,0.112968802259477,0.041016952538584,0.0675847501869426
"UBE2J2","micro4","black",0.0733113226493648,0.0590173804485124,0.0758026626635791,0.0641906557751201,0.134771379643622,0.0774506268274667,0.0502002252471901,0.047278230174285,0.0789790022013649,0.0204205307261067,0.0668738122707062,0.0948491915924728,0.0564322251744119,0.0484174994925965,0.067811406049028,0.0207812912845372
"ACAP3","micro5","blue",0.0582555402802794,0.059113246020316,0.0135278087735051,0.105110009163254,0.0164645144248478,0.107580904105057,0.108241119216248,0.0338237899852195,0.0619627050034696,-0.00636712254021332,0.039000383781987,0.0073018205874703,0.0471782746820682,0.0611832469501239,-0.00244846525421201,0.0391172561302393
"MIB2","micro6","green",0.0259879773263954,0.00588675838234492,-0.0061578617650958,0.0340389981849087,0.0291315816037229,0.0603742840765773,0.0605945401588522,0.0239539700041867,0.0464137351960461,-0.0144240674703214,0.0349399781821754,-0.00912343488154516,0.0090891835669889,0.0246590407615756,-0.0236509060414241,0.0175691165398078
"SLC35E2B","micro7","magenta",0.167461186992118,0.0167177302297371,0.0967031363878214,0.0804991860549055,0.100166294120469,0.147634348790419,0.0703346252353461,0.176713825991505,0.132752017688428,0.141150574296353,0.0919166920623837,0.0962609552269955,0.151805151379167,0.0761093098430346,0.145222368901713,0.122725462644348
"CDK11A","micro4","black",0.0953818035028628,0.0248311108294743,0.0973336916650628,0.0967557494285421,0.135326135968339,0.0723564076801851,0.0417051049682769,0.071611459966745,0.108134382856639,0.0685973549652178,0.0545161218370651,0.0413606906302313,0.110626165112992,0.0523503695817687,0.082540524987864,0.0390896738144441
"NADK","micro5","blue",0.142855293159753,0.0581429168419456,0.135165701752606,0.120448698027033,0.108484584820141,0.189636826769977,0.0957400299469028,0.121280648987174,0.193329851290219,0.0730358552614948,0.116045725659289,0.0656622568796965,0.13279087161888,0.0912225792311631,0.0449853989180288,0.0388237690724837
"GNB1","micro8","turquoise",0.267646823485507,0.0377801312517949,0.305738483900419,0.222564115209463,0.264275413135911,0.243734248881654,0.05313513882294,0.176852870683681,0.337946048333212,0.124495208504469,0.165175201716856,0.225118346488619,0.246528995976855,0.158273180985134,0.13859824365756,0.0639352469209721
