"gene_name","module","color","kME_grey","kME_micro1","kME_micro2","kME_micro3","kME_micro4","kME_micro5","kME_micro6","kME_micro7","kME_micro8","kME_micro9","kME_micro10","kME_micro11","kME_micro12","kME_micro13","kME_micro14","kME_micro15"
"NOC2L","micro1","turquoise",0.0745407160798009,0.0998181795930359,0.0787024970456603,0.0640886024885135,0.0657650096178389,0.0420727398685479,0.0423706446306375,0.055809636235724,0.0452653451174268,0.0405838967464333,0.0714607472872922,0.0672398955541025,0.0479022460348606,0.0497185449608343,0.0287164749918908,0.0494854195791833
"ACAP3","micro1","turquoise",0.0446198836198481,0.0552478248649263,0.0363639394952967,0.0315559183620451,0.0139443112717412,0.0165474278229092,0.0477413731980999,0.0355627867391434,0.0427310530859173,0.0334534988319736,0.0385642620633146,0.0363121237822284,0.0275381166405074,0.0397476621848138,0.0172898686120686,0.0283096922452977
"NADK","micro2","purple",0.138657946680862,0.111978719268541,0.186063492258951,0.125552216367614,0.0635235817912088,0.120967173917315,0.107749154969747,0.14088817958718,0.0431934472911554,0.0652749275547347,0.128989205226801,0.0791229281478802,0.0964728899012651,0.123926296593429,0.0751003654592939,0.0641471828146898
"GNB1","micro3","brown",0.384953270140729,0.222343642045208,0.288452562532879,0.391546641524664,0.290021612916289,0.270672316965464,0.262741251076529,0.287438397419672,0.194977906128306,0.209263036370952,0.346298840018427,0.329516082821193,0.251009163671726,0.297146494821202,0.243002780355651,0.215618610819117
"FAAP20","micro1","turquoise",0.0675209169602925,0.0928897261087966,0.0457790431600613,0.0394746859165522,0.0156005994092885,0.032334318280563,0.0409348733831791,0.0608816345707688,0.0290430168212722,0.0026799339107408,0.0651807215829913,0.0417189800945649,0.0275397912528483,0.0291688710852469,0.016372179275476,0.0490058708244541
"SKI","micro4","salmon",0.347622077652743,0.180022483246005,0.230095373224154,0.317207134120642,0.3656606465947,0.189809606649226,0.27267473066491,0.248166355657028,0.242327272938761,0.142123861771984,0.300796245492351,0.323624393375736,0.217957600049835,0.284114067570245,0.309577005050311,0.267338274259647
"TNFRSF14","micro2","purple",0.0927271470962699,0.088446110813999,0.13513121375951,0.0921138111528707,0.0388170175685887,0.102624843199183,0.0474619738050965,0.093094896754362,-0.0176100940493863,0.0689011179781686,0.0942290658931312,0.0366821347406121,0.0505703478380732,0.0733378555762,0.00608907106640398,0.0231167641694837
"KCNAB2","micro5","black",0.110048194572496,0.106933910591393,0.108763920351572,0.128046644991799,0.0438404757724092,0.188887382766974,0.0872459970010318,0.145955371522876,-0.0537914038629291,0.0949772633802023,0.101119348772666,0.0143043053927464,0.0850335936264036,0.111604220820831,0.017938703827531,0.0253427449050876
"KLHL21","micro1","turquoise",0.111564403076738,0.108719871490664,0.0898062618803697,0.0441634602199919,0.0348666862852685,0.039104749358952,0.113042870959303,0.10986657194026,0.120021569054269,0.0521796928469478,0.0929901875724315,0.103985559610264,0.0725939036007697,0.121824881364219,0.0922125129722758,0.143774794280791
"CAMTA1","micro6","magenta",0.214227252085212,0.147775046055041,0.160964679350413,0.159184869408009,0.15095131941354,0.129660672320498,0.243352180196286,0.189349414927808,0.189466482480009,0.0884463470039983,0.179556918797526,0.191044476346457,0.172916808201688,0.176051346883468,0.179486242038048,0.18420375057724
